"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)",0.28194,0.84069,1.092,1.227,1.2098,1.1879,1.1854,1.1813
"SM 24:1",0.27993,0.82932,0.79836,0.80223,0.78967,0.78934,0.79385,0.79209
"PC 40:4",0.27724,0.41048,0.39381,0.46479,0.54209,0.55044,0.55302,0.55061
"TG 49:1",0.27675,0.58165,0.88234,0.90476,0.89216,0.88008,0.87427,0.87118
"TG 50:2",0.27512,0.78695,0.87669,0.9754,0.96487,0.95931,0.95349,0.95501
"PC P-40:4 or PC O-40:5",0.27477,0.31143,0.37584,0.35786,0.5516,0.55398,0.55109,0.54869
"TG 52:0",0.27056,0.8484,0.94004,0.91432,0.90204,0.93898,0.95867,0.95447
"LPS 18:0",0.26937,1.1388,1.1403,1.086,1.0742,1.0557,1.0553,1.0508
"DG 34:1",0.26199,0.43564,0.69145,0.70621,0.76978,0.75712,0.75529,0.75292
"Cer d39:1",0.26039,0.31127,0.44522,0.4331,0.42654,0.44234,0.43995,0.44227
"PC P-36:1 or PC O-36:2 A",0.25812,0.90964,0.85496,0.82717,0.84481,0.8317,0.82662,0.82391
"SM 35:1;2O",0.25218,0.2974,0.42395,0.48025,0.4864,0.48615,0.48267,0.50304
"GlcCerd14:14E/20:02OH",0.25169,0.46879,0.53889,0.52247,0.52983,0.53962,0.55112,0.54895
"SM d42:1",0.25144,0.24411,0.24736,0.31118,0.36332,0.36549,0.36702,0.36665
"TG 56:8 Isomer A",0.25023,0.49949,0.48731,0.46331,0.46183,0.5561,0.63862,0.66245
"Cer d34:1",0.24774,0.19936,0.52204,0.49652,0.49734,0.61276,0.63598,0.63344
"SHexCer 34:1;3O",0.2435,0.21404,0.31843,0.30826,0.3491,0.35093,0.35014,0.35525
"SM d34:2",0.24348,0.93393,0.94852,0.90112,0.89072,0.88398,0.8923,0.88844
"PA 18:1_18:1",0.24339,0.19865,0.19181,0.18251,0.28392,0.31681,0.31527,0.32612
"acylcarnitine 10:1",0.23914,0.78836,0.75385,0.7346,0.84337,0.82954,0.84217,0.8405
"TG 60:3",0.23874,0.34927,0.34648,0.5307,0.52864,0.52136,0.51744,0.53949
"Cer d44:1",0.23704,0.32186,0.36911,0.37017,0.38187,0.39964,0.40155,0.3998
"PC 38:5 Isomer A",0.23451,0.38557,0.39813,0.50598,0.54643,0.6704,0.66728,0.67946
"TG 50:4",0.23394,0.52678,0.85087,0.82275,0.81725,0.82525,0.82233,0.83331
"FA 18:1 (oleic acid)",0.23215,0.35875,0.33716,0.37383,0.38571,0.37867,0.37608,0.37611
"PC 37:4",0.23205,0.27374,0.27616,0.38494,0.42361,0.58684,0.58288,0.58181
"palmitoyl ethanolamide",0.22281,0.8666,0.91208,0.86649,0.85934,0.94505,0.94106,0.9376
"PEtOH 16:0_16:1",0.22153,0.64502,0.63212,0.64437,0.66138,0.6811,0.69528,0.70677
"acylcarnitine 20:1",0.22081,0.37268,0.50601,0.48254,0.51714,0.54469,0.56671,0.56729
"Cer 18:2;2O/22:0",0.20605,0.19275,0.26196,0.40248,0.41809,0.5437,0.54684,0.54601
"FAHFA 18:0/20:2",0.20553,0.31384,0.38596,0.52324,0.52376,0.51423,0.515,0.52944
