"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Cer d41:2",-0.034982,-0.025164,0.036814,0.0066614,-0.016552,0.080334,-0.072509,0.018153
"Cer d42:0",0.022802,0.00030157,-0.053056,0.017647,-0.040545,0.043489,-0.047255,0.0076786
"Cer d42:1",-0.045398,0.0031114,0.015214,-0.01839,-0.071087,0.098929,-0.038344,0.045262
"Cer d42:2 Isomer A",-0.041939,0.027677,0.040996,-0.042271,-0.069155,0.090701,-0.038976,0.010488
"Cer d42:3",-0.070092,-0.0022472,0.052767,-0.0051893,-0.039185,0.064469,-0.045658,0.017192
"Cer d43:1",-0.039343,-0.014807,-0.012113,0.052275,-0.064242,0.025384,-0.02155,0.039823
"Cer d43:2",0.048761,-0.034495,-0.011301,0.049061,-0.03963,-0.020512,0.036573,0.0074689
"Cer d44:1",-0.032973,0.0059085,0.013455,0.035433,-0.061637,0.050243,-0.025115,0.028727
"Cer d44:2",0.045486,-0.050661,0.047432,0.04403,-0.039619,-0.015197,0.088986,0.018246
"Cer d46:1",0.10042,-0.038763,-0.0048373,0.0461,-0.080587,-0.0021172,0.026734,-0.039606
"Cer d46:2",0.071876,-0.028666,-0.033888,0.009103,-0.087946,0.00305,0.031209,-0.087348
"Cer-NDS d39:0",0.055763,-0.024379,0.015998,0.0754,-0.070998,-0.037393,-0.002419,-0.0024145
"Cer-NDS d40:0",0.063446,-0.039384,-0.036882,-0.00097226,-0.026469,0.036822,-0.046683,0.020473
"Cer-NDS d41:0",0.052677,-0.010761,-0.02862,0.055154,-0.043941,-0.0059887,-0.031165,0.033314
"Cer-NDS d43:0",0.096519,-0.042848,0.012075,0.058037,-0.040038,-0.0011404,0.024823,-0.026275
"Cer-NP t42:0",-0.07237,0.0056677,-0.024666,0.08098,-0.066114,-0.0074805,-0.034655,0.017501
"Cholesterol",-0.017495,-0.02232,-0.016956,0.082073,-0.10246,0.0055892,0.044271,-0.0016926
"cholesterol 3-sulfate",0.018479,-0.039902,0.0054645,0.029471,-0.044384,-0.010232,0.022896,-0.047961
"cis-13-docosenoic acid",0.021319,-0.022661,0.035677,0.025657,-0.037389,-0.025295,0.015882,0.061906
"DG 18:1_18:2",-0.1002,0.060352,-0.003655,0.042352,0.013455,-0.045438,-0.00070078,0.05012
"DG 34:1",-0.044394,0.068591,-0.042468,0.011415,-0.075754,0.0082128,-0.040543,0.046714
"docosanamide",-0.0165,0.00054984,0.034857,0.05825,-0.058687,-0.052862,0.012821,0.025443
"FA 14:0 (myristic acid)",0.12752,-0.059175,-0.060315,0.01506,-0.011733,-0.0049618,-0.0053775,-0.012396
"FA 14:1 (physeteric acid)",0.10471,-0.061542,-0.029675,-0.0049453,-0.0034019,0.024227,-0.010061,0.042158
"FA 15:0 (pentadecylic acid)",0.047844,-0.065283,-0.041552,0.033239,-0.034858,-0.026641,0.033532,-0.028771
"FA 15:1",0.063106,-0.065167,-0.02405,0.0043589,-0.068659,-0.0080968,0.038113,0.035347
"FA 16:1 (palmitoleic acid)",0.076863,-0.077538,-0.059961,0.021931,-0.029604,-0.010032,0.00039867,0.044608
"FA 17:0 (margaric acid)",0.018107,-0.017492,-0.00208,0.046824,-0.084324,0.0011857,0.026058,0.0086369
"FA 18:1 (oleic acid)",0.036689,-0.024581,0.026194,-0.011301,-0.030274,0.0037385,0.0047288,0.017548
"FA 18:2 (linoleic acid)",0.080819,-0.10162,0.085121,-0.017315,-0.018382,0.011861,-0.035115,0.097279
"FA 18:3 (linolenic acid)",0.058233,-0.064956,0.075671,0.02007,0.020622,-0.063398,-0.020159,0.046162
"FA 19:1",0.068974,-0.05957,-0.057618,0.04826,-0.051101,-0.0091585,-0.01524,0.0071098
"FA 20:2 (eicosadienoic acid)",0.094755,-0.08189,-0.0040071,-0.036835,-0.056071,0.018077,-0.00051228,0.077036
"FA 20:3 (homo-gamma-linolenic acid)",0.15142,-0.12187,0.074579,-0.079121,-0.020079,0.047387,-0.063965,0.092349
"FA 20:4 (arachidonic acid)",0.16806,-0.16863,0.10495,-0.097576,0.0089417,0.025096,-0.060078,0.138
"FA 20:5 (eicosapentaenoic acid)",0.11685,-0.12573,0.07448,-0.068143,0.068389,-0.071458,-0.051571,0.12579
"FA 22:0 (behenic acid)",0.030287,-0.050464,-0.019447,0.064882,-0.03247,-0.01939,0.051996,-0.020587
"FA 22:1 (erucic acid)",-0.023,-0.044783,-0.031914,0.085268,-0.084803,0.0095483,0.0034227,0.055349
"FA 22:2 (docosadienoic acid)",0.048241,-0.060714,-0.025925,0.055609,-0.045531,-0.05546,0.045584,0.042346
"FA 22:4",0.16538,-0.1318,0.084275,-0.10044,0.0053941,0.024796,-0.030238,0.11675
"FA 22:6 (docosahexaenoic acid)",0.20204,-0.14396,0.090745,-0.068527,0.023914,-0.074336,-0.024627,0.14912
"FA 23:0",0.023032,-0.054265,-0.028407,0.061943,-0.038585,-0.033965,0.057439,-0.043763
"FA 24:1 (nervonic acid)",0.016403,-0.068587,-0.028713,0.074176,-0.078913,0.039568,0.01834,-0.023724
"FA 28:0 (montanic acid)",-0.0069184,-0.033843,-0.015545,0.084503,-0.014503,-0.05135,0.064906,-0.015756
"FA 30:0",0.0078154,-0.019475,-0.021875,0.095524,-0.039455,-0.030659,0.036544,0.005448
"FA 32:0",-0.033869,-0.0034074,-0.03024,0.10581,-0.032858,-0.056602,0.032573,0.030856
"FAHFA 18:0/20:2",0.03211,-0.03827,-0.015032,0.041404,0.024174,-0.016303,0.065139,-0.12488
"FAHFA 38:4",0.067517,-0.0072359,0.04822,-0.069755,-0.01339,0.034687,-0.027271,0.036629
"GlcCer d34:1",-0.0085368,-0.020151,-0.010458,-0.0053194,-0.070936,0.057446,0.010354,-0.046302
"GlcCer d40:1",-0.049161,0.0054176,-0.019568,0.024469,-0.051586,0.032166,0.033013,0.036831
"GlcCer d41:1",-0.027316,-0.0080616,-0.0058991,0.073481,-0.052488,0.018712,-0.041274,0.03441
"GlcCer d42:1",-0.035069,-0.01823,-0.023943,0.048703,-0.060751,0.039305,0.029728,0.028492
"GlcCer d42:2",-0.055424,0.019964,0.0061016,0.02329,-0.05536,0.04909,0.00044033,0.027549
"GlcCerd14:14E/20:02OH",-0.023694,0.012004,0.05655,0.003915,-0.06645,0.068618,-0.04491,0.019117
"Hex3Cer 18:1;2O/16:0",-0.068674,0.005354,0.048403,0.027641,-0.055493,0.046738,-0.04925,-0.011817
"HexCer 18:1;2O/24:0",-0.014466,0.019687,-0.0099062,0.023851,-0.073324,0.026627,-0.0025032,0.052946
"lactosylceramide d18:1/24:1 15Z",-0.024267,0.0011368,-0.00901,-0.068232,-0.054006,0.09535,-0.015091,-0.037945
"LNAPE 18:2_N-19:0",-0.056127,-0.014286,0.034614,-0.0017081,-0.031652,0.031889,-0.030705,0.034613
"LNAPE 18:2/N-20:0",-0.051764,-0.023376,0.0094059,0.054154,-0.050315,-0.030915,0.013868,-0.044532
"LPC 14:0",0.077192,-0.0045227,-0.071199,0.031354,-0.0056277,0.027624,-0.083052,0.063773
"LPC 15:0",0.037401,-0.033202,-0.019279,0.051349,-0.036986,0.042857,-0.10534,0.061273
"LPC 16:0",0.0026818,-0.045987,-0.015125,0.078055,-0.035719,0.057467,-0.1289,0.074464
"LPC 16:1",-0.025061,-0.026152,-0.01591,0.049335,0.0048422,0.039803,-0.10137,-0.018005
"LPC 17:0",0.0034191,-0.046506,-0.010932,0.074425,-0.048854,0.025642,-0.090834,0.034251
"LPC 18:0",-0.020122,-0.055108,-0.0078388,0.067576,-0.039121,0.040236,-0.098161,0.053321
"LPC 18:1",-0.0017507,-0.049563,0.0032131,0.028067,0.010034,0.054851,-0.1131,-0.012936
"LPC 18:2",0.0022801,-0.062779,0.044348,0.026405,0.045591,-0.025365,-0.073102,-0.015863
"LPC 20:0",0.020759,-0.045376,0.014027,0.055469,-0.044488,0.012855,-0.0091609,-0.012137
"LPC 20:1",0.033141,-0.04637,-0.01535,0.05581,-0.066899,0.028742,0.0094761,0.016497
"LPC 20:2",0.05109,-0.08496,-0.0023118,0.038628,-0.040639,0.0209,-0.043554,-0.016625
"LPC 20:3",0.04926,-0.091527,0.023306,-0.01828,0.076204,0.054661,-0.11493,0.016967
"LPC 20:4",0.056194,-0.151,0.05296,-0.015871,0.15634,-0.0046765,-0.080351,0.04161
"LPC 20:5",0.030439,-0.11614,0.036559,0.04033,0.099646,-0.0070717,-0.088941,-0.0084949
"LPC 22:6",0.065495,-0.13042,0.040806,-0.0093638,0.13414,-0.080275,-0.068254,0.066843
"LPC 32:0",-0.072627,0.010808,-0.0048474,0.032739,-0.044533,0.052971,-0.026257,-0.030951
"LPC O-16:0",0.0358,-0.075167,0.022278,0.017377,-0.059957,0.095172,-0.073659,0.043832
"LPC O-20:1",0.09305,-0.0070338,-0.06575,0.01092,-0.10483,0.014544,-0.011021,0.081529
"LPC O-22:0",0.0018263,-0.04019,-0.028188,0.023245,-0.040531,0.056597,0.0093606,-0.027242
"LPC O-24:0",-0.0038959,0.0049698,-0.0067702,0.039056,-0.0092602,0.028816,0.0032705,-0.039279
"LPC O-24:1",0.0014257,-0.016719,-0.0077423,0.029694,-0.031264,0.063347,0.02175,0.0020212
"LPC P-16:0 or LPC O-16:1",0.0091443,-0.044229,0.026231,0.017079,-0.057995,0.1028,-0.070218,0.01206
"LPC p-18:0",0.023073,-0.075378,0.019303,0.027456,-0.055851,0.099313,-0.067956,0.053481
"LPC P-18:0 or LPC O-18:1",0.060263,-0.059579,0.008521,0.027615,-0.057551,0.041223,-0.069436,0.002894
