"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Cer d40:0",0.3817,0.75682,0.70809,0.82903,0.85483,0.86237,0.88708,0.88126
"PC 36:3 Isomer B",0.38132,0.34964,0.55157,0.53399,0.60429,0.61102,0.5976,0.59544
"TG 49:3",0.37944,1.0209,1.4461,1.3386,1.2931,1.259,1.2307,1.2236
"PC P-38:4 or PC O-38:5 Isomer A",0.37526,0.60057,0.52499,0.65847,0.99539,0.97146,0.96714,0.96551
"Cer 20:0;2O/26:0",0.37399,0.28353,0.73777,0.77352,0.76739,0.78114,0.78584,0.78124
"SM 18:0;2O/21:0",0.37285,0.63116,0.6306,0.64252,0.62052,0.67474,0.69075,0.68626
"SM d44:1",0.37217,0.3564,0.71233,0.65528,0.65014,0.63689,0.62379,0.62645
"PC 29:0",0.36658,0.50635,0.55525,0.58685,0.78684,0.7735,0.76324,0.79018
"PC 38:5 Isomer B",0.3657,0.44248,0.36247,0.79937,0.77209,0.82064,0.80254,0.80181
"PI 18:0_20:4",0.36319,0.26827,0.22346,0.6183,0.72733,0.73557,0.784,0.781
"TG 28:0",0.35959,0.3064,0.77558,0.79274,0.77519,0.75501,0.76162,0.75661
"SM 12:1;2O/32:8",0.35943,0.5378,0.76443,0.69656,0.72899,0.70977,0.73621,0.73678
"Cer 20:0;2O/25:0",0.35834,1.261,1.0303,1.0174,0.99985,0.97367,0.96756,0.96167
"SM 42:2;3O",0.34966,0.31335,0.86537,0.86092,0.88599,0.87073,0.85671,0.8519
"SM d31:1",0.34894,0.32969,0.49694,0.60181,0.74698,0.74458,0.72822,0.73941
"HexCer 18:1;2O/24:0",0.34104,0.24491,0.42009,0.52335,0.53937,0.52922,0.52632,0.52776
"PC 16:0_18:2",0.33897,0.24114,0.57829,0.59556,0.58027,0.58003,0.58325,0.58529
"FAHFA 38:4",0.33855,0.64935,0.66709,1.2087,1.169,1.1392,1.3127,1.3074
"Cer 18:0;3O/24:0;(2OH)",0.33158,0.96651,0.79396,0.78402,0.79246,0.84866,0.86235,0.85665
"PC P-44:4 or PC O-44:5",0.32855,0.87474,0.72218,1.0365,1.0117,1.0109,1.0232,1.0177
"LPC 16:0",0.32705,0.25489,0.23282,0.63403,0.76052,0.81706,0.82614,0.82156
"FA 30:0",0.32305,0.33308,0.35743,0.32841,0.59345,0.77457,0.75733,0.75253
"SM 42:1;3O",0.30179,0.26763,0.75362,0.71391,0.7284,0.71832,0.71133,0.70953
"PC 36:1",0.29969,0.26815,0.84593,0.778,0.75903,0.76673,0.76009,0.75558
"PC 36:4 Isomer A",0.29574,0.27867,0.27172,0.2759,0.37611,0.37332,0.4954,0.51004
"FA 22:6 (docosahexaenoic acid)",0.28971,1.4388,1.7279,1.5673,1.5434,1.5027,1.4722,1.4635
"SM d43:1 Isomer B",0.28799,0.21006,0.67355,0.608,0.64379,0.62725,0.61425,0.61019
"PC 35:1",0.28744,0.48819,1.1443,1.048,1.0158,0.99786,0.98362,0.98171
"SM d44:3",0.28735,1.3832,1.5052,1.428,1.391,1.3599,1.3301,1.3256
