"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 54:2",1.3706,2.1349,1.7336,1.7531,1.6926,1.654,1.6403,1.6316
"TG 48:1",1.3672,1.476,1.1963,1.2143,1.1798,1.1493,1.1863,1.2053
"Cer d40:1",1.3581,1.0975,1.0079,1.0503,1.0125,1.0049,0.98222,0.97854
"TG 42:2",1.3574,1.1283,0.91531,0.89071,0.87177,0.943,0.95799,0.95634
"Cer d42:2 Isomer A",1.3564,0.99978,1.1477,1.1419,1.1016,1.0722,1.0711,1.065
"PC P-36:1 or PC O-36:2 B",1.3505,1.2692,1.0926,1.0395,1.0212,0.99796,1.0162,1.0159
"Cer 18:2;2O/23:0",1.3498,1.0008,0.87186,0.83107,0.80214,0.77967,0.7636,0.76062
"TG 48:0",1.3451,1.3184,1.0967,1.0802,1.0437,1.0225,1.0495,1.0783
"SM d40:1",1.3203,1.2919,1.1898,1.0806,1.0443,1.026,1.0131,1.0078
"TG 53:2",1.3202,1.7312,1.4081,1.3574,1.3082,1.2749,1.2476,1.2416
"LPC 20:3",1.3197,1.3394,1.0861,0.98499,0.96835,0.98765,1.0169,1.0146
"PE P-36:1 or PE O-36:2",1.3193,1.019,0.83731,0.76189,0.79367,0.91403,0.91371,0.91363
"PEtOH 18:1_18:1",1.3179,1.475,1.743,1.6924,1.6462,1.6051,1.6118,1.6127
"TG 54:5 Isomer A",1.3114,1.6669,1.3709,1.2443,1.2063,1.1733,1.1569,1.181
"SM d40:0 Isomer A",1.3087,1.2412,1.177,1.0669,1.0291,1.0142,1.0015,0.99624
"LPC 14:0",1.3037,1.1871,1.1673,1.1107,1.22,1.1879,1.1609,1.1557
"PE P-38:4 or PE O-38:5",1.3026,0.9883,0.84342,0.77856,0.88406,0.95413,0.93507,0.92972
"TG 48:2",1.2891,1.4778,1.2258,1.1585,1.1192,1.0883,1.1043,1.1035
"SM 20:0;2O/22:3",1.2836,0.97375,0.84184,0.76634,0.73878,0.72201,0.71417,0.72695
"TG 16:0_18:1_20:0",1.2746,2.0894,1.6939,1.7157,1.6581,1.6172,1.5983,1.5895
"LPC 18:2",1.2743,1.1849,0.98193,0.89586,0.90596,1.0511,1.118,1.1124
"LPC p-18:0",1.2653,0.94198,0.82102,0.76368,0.78146,0.86187,0.84211,0.83767
"LPE 16:0",1.2595,1.0778,0.92291,0.86292,1.0201,1.0585,1.0372,1.0349
"PC P-36:4 or PC O-36:5",1.2519,0.93817,0.7605,0.76966,0.90785,0.88368,0.87839,0.87417
"PE O-16:1_18:2",1.2518,0.92334,1.0035,0.91007,0.94287,0.94032,0.91845,0.91412
"PE O-40:4",1.2424,0.92028,0.91065,0.85584,1.015,0.98934,0.97,0.96467
"PEtOH 16:0_16:1",1.2419,1.2575,1.0837,1.3215,1.2736,1.2378,1.2139,1.2073
"SM d34:0",1.2358,0.99316,0.80565,0.7911,0.84056,0.82149,0.80769,0.80305
"palmitoyl ethanolamide",1.2345,1.2306,1.0222,1.1738,1.1447,1.1572,1.1308,1.125
"C16 Lactosyl Ceramide (d18:1/16:0)",1.2216,1.0091,0.87033,0.82477,0.8025,0.78824,0.7729,0.77491
"TG 60:2",1.2154,0.8982,0.76297,0.88319,0.852,0.88729,0.98559,1.0147
"TG 51:4",1.2147,1.3707,1.2195,1.1082,1.0729,1.0622,1.0407,1.0365
"PC 16:0_5-oxovaleryl",1.2133,0.89515,0.72757,1.3108,1.2635,1.229,1.2136,1.207
"DG 34:1",1.2097,0.89646,0.85179,1.0829,1.0621,1.038,1.0401,1.0351
"PC P-36:2 or PC O-36:3",1.2094,0.92413,0.783,0.82377,0.86464,0.84037,0.8317,0.82695
"SM d36:0 Isomer A",1.2078,1.0885,0.89085,1.0152,0.9788,0.97572,0.95351,0.94827
"PE P-38:5 or PE O-38:6",1.2077,0.96067,0.94958,0.86351,0.92878,1.032,1.0098,1.0078
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine",1.2053,0.96063,0.81057,0.84274,0.83297,0.81512,0.80477,0.81284
"SM d42:3",1.1977,0.9957,1.0555,1.0094,0.97314,0.94589,0.93625,0.93522
"PC P-34:1 or PC O-34:2",1.1955,1.1996,0.97234,1.1093,1.1369,1.1456,1.1188,1.1135
"Cer 18:2;2O/24:1",1.1887,0.91106,0.84655,0.84298,0.81242,0.7897,0.80632,0.80177
"Cer d34:0",1.185,0.90147,0.86285,0.80088,0.77796,0.76906,0.75283,0.75753
"TG 51:1 Isomer B",1.1847,1.4282,1.2532,1.3041,1.2574,1.2226,1.2116,1.2152
"PE P-36:2 or PE O-36:3",1.1752,0.87834,0.72581,0.68444,0.69179,0.86776,0.84875,0.84814
"GlcCer d34:1",1.1716,1.0222,0.86374,0.85718,0.84345,0.82031,0.81408,0.81277
"TG 58:2",1.1662,1.0685,0.90196,1.0174,0.99253,1.0458,1.133,1.159
"SM d36:1",1.1559,1.0112,0.86947,0.92763,0.89448,0.90177,0.88137,0.87658
"PE O-16:1_18:1",1.1542,0.85523,0.69916,0.68899,0.67286,0.9686,0.94615,0.94352
"TG 52:0",1.153,1.4944,1.6827,1.5552,1.5008,1.4624,1.438,1.4429
"SM 24:1",1.1448,0.94423,1.0889,1.0008,0.98321,0.9561,0.93571,0.9313
"SM d40:1 Isomer B",1.1339,1.0271,0.85558,0.79552,0.76733,0.76068,0.74302,0.74015
"TG 38:0",1.1239,0.89852,0.92126,0.87772,0.84801,0.83384,0.83354,0.83205
"TG 64:2",1.1137,0.87218,0.72156,0.89495,0.86768,0.89203,0.98481,1.0198
"LPC O-16:0",1.0958,0.80819,0.7588,0.7117,0.75365,0.89107,0.87033,0.86688
"TG 58:3",1.0914,1.1911,1.1363,1.0471,1.0572,1.0686,1.0762,1.1499
"TG 55:4",1.0904,0.84596,0.79347,0.76487,0.75598,0.78224,0.78168,0.79056
"GlcCerd14:14E/20:02OH",1.0711,0.8008,0.71774,0.70551,0.67994,0.70162,0.68877,0.68629
"Cer d39:1",1.0709,0.8243,0.68338,0.77195,0.75838,0.73941,0.73015,0.73351
"SM d40:0 Isomer B",1.0677,1.0345,0.90779,0.83347,0.81521,0.79478,0.79096,0.78764
"SM d36:2",1.0635,0.83768,0.90309,0.90728,0.92132,0.93536,0.91619,0.91101
"PC 33:3",1.0618,0.89085,1.0027,0.9589,0.92645,0.90221,0.93241,0.92884
"TG 54:6 Isomer A",1.0579,1.3434,1.198,1.0945,1.0551,1.0355,1.031,1.0616
"TG 50:0",1.0576,1.787,1.563,1.5021,1.4512,1.4106,1.3912,1.4061
"LPC 20:0",1.0501,0.77517,0.62839,0.61951,0.64741,0.64594,0.67412,0.67938
"TG 54:1",1.04,2.1348,1.927,1.8639,1.7985,1.7617,1.739,1.731
"PS 36:1",1.0376,0.82471,0.67047,0.86117,0.84411,0.84654,0.83062,0.82587
"SM 20:3;2O/24:0",1.0337,0.77197,1.0271,0.93036,0.90818,0.89183,0.8966,0.8987
"LPC O-20:1",1.031,0.76452,0.69073,0.66706,0.71426,0.73273,0.73405,0.73606
"PE P-34:1 or PE O-34:2",1.0279,0.91534,0.86019,0.78124,0.79298,0.89338,0.87247,0.86819
"Cer d34:2 Isomer A",1.0246,0.75968,0.73677,0.6922,0.66713,0.7102,0.69878,0.69802
"PC O-36:1",1.0123,1.3684,1.3204,1.227,1.2207,1.1998,1.1792,1.1756
"trihydroxyoctadec-15-enoic acid",1.0046,0.86833,1.0894,1.3386,1.3212,1.2999,1.2717,1.2644
"MGDG 16:0_20:5",0.99467,0.85732,0.97348,1.0199,0.98332,0.97009,0.94857,0.94317
"SM 25:2;2O/15:1",0.99304,0.88265,0.75466,0.84582,0.81994,0.80104,0.78229,0.79372
"PC 35:2",0.99008,0.86449,0.79039,0.7175,0.714,0.69399,0.78589,0.7826
"PE 34:1",0.97938,0.98003,1.1008,0.99994,1.0086,1.0926,1.0832,1.077
"PE 34:2",0.97917,1.0144,0.91796,0.83153,0.89328,1.0123,0.99099,0.98713
"PE 38:4",0.96409,0.73071,0.64251,0.61496,0.68781,0.94449,0.933,0.93136
"TG 54:0",0.96084,0.88193,1.4658,1.3375,1.2925,1.2612,1.2549,1.2481
"SM d36:0 Isomer B",0.95714,0.76537,0.62041,0.58988,0.57574,0.62278,0.62713,0.62802
"SM d42:0",0.9502,0.78189,1.1,1.0283,0.99133,0.96914,0.94669,0.94282
"Hex3Cer 18:1;2O/16:0",0.94308,0.69537,0.56975,0.71432,0.694,0.71606,0.70267,0.70194
"PI 34:2",0.94241,1.0095,1.3207,1.2038,1.1601,1.1279,1.1027,1.0963
"TG 56:1",0.93732,1.1756,1.1843,1.266,1.2225,1.2004,1.1974,1.1928
"SM 22:1;2O/12:0",0.93015,0.72861,0.60153,0.80916,0.7852,0.78491,0.77239,0.77273
"PE-O 18:1_22:6",0.92577,0.73099,0.76984,0.75682,0.8093,0.85148,0.98351,0.98142
"PC O-32:0",0.9231,0.91447,0.96434,0.94176,0.91036,0.92203,0.90071,0.89651
"CE_13-HODE",0.90901,0.67604,0.76238,0.76264,0.78448,0.83364,0.81439,0.81025
"TG 46:0",0.9037,0.99116,1.0613,0.99359,0.95884,0.94192,0.94869,0.99013
"TG 55:3",0.90272,1.222,1.0394,1.0232,0.9861,0.96084,0.96583,0.96119
"TG 54:7 Isomer A",0.90077,1.1028,1.0353,0.94737,0.93858,0.91476,0.90482,0.92135
"PI 38:4",0.89938,0.81669,0.7036,0.71566,0.96875,0.94643,0.94635,0.94093
"PC P-36:1 or PC O-36:2 A",0.8963,1.0675,0.98467,0.99104,1.033,1.0145,1.0005,0.9951
"TG 49:1",0.89584,1.0552,1.0968,1.0159,0.98009,0.9553,0.93697,0.94703
