acylcarnitine 20:1,2896,3531,1557,1409,2916,2391,2138,4065,3539,1669,3361,2403,2253,2565,2391,3725,3502,1698,4524,2608,3055,6823,1853,2866,2697,2961,2524,1865,2451,3000,2628,3496,3139,4018,2687,2172,3746,2996,2125,2184,1684,2483,2321,2998,2728,2866,2538,1935
C16 Lactosyl Ceramide (d18:1/16:0),19115,39374,25231,16088,31550,22812,20244,27648,33442,13376,25899,34478,28308,35049,22570,37088,35430,32040,45378,23150,28968,41459,31965,24625,41143,27306,23250,13174,35272,25010,29298,25453,31629,40054,31249,32102,20909,27367,49577,36392,24122,29358,34361,35640,31464,24126,35230,38834
CE 18:1,2332,4011,4142,3655,4961,2064,5465,3045,3635,2016,3426,5320,2604,5580,2707,3629,6091,2331,5958,5544,4087,4833,8737,6023,3349,3712,4263,4034,3068,7831,4173,6013,2178,7551,6352,2788,4063,4254,4533,2473,4596,3040,5869,4846,6095,4807,3399,4402
CE 18:2,1689,5722,4189,3246,5148,1952,4031,2499,4239,2331,4498,7081,1824,7713,2252,2157,5283,1951,6811,4607,4864,3879,4849,5499,2333,3790,5146,2974,4173,7446,4157,9144,1688,10640,5580,2477,4715,4502,4256,2557,3362,2706,5151,5461,6802,4535,1871,3455
CE_13-HODE,8552,12023,9155,8763,15869,7066,13271,7308,8204,7624,12094,15812,5623,11513,9438,7326,10324,5092,14157,14859,12091,11913,8794,9638,7758,10285,11317,8353,9556,11783,9671,12397,5002,12406,8395,9519,11081,8403,10223,8270,8600,7849,11035,11626,11742,9742,6435,7846
Cer 18:0;2O/24:0,8924,10800,12372,6728,12651,9240,8419,11590,10328,5413,9203,9157,7224,7398,10556,25076,9860,9639,12267,11742,9319,10557,5006,12307,13429,11461,8183,6265,12883,9254,10166,10214,10218,19581,7335,7060,10804,8661,11165,7215,15201,6496,9406,9674,8004,7754,12187,9384
Cer 18:0;2O/24:1,603,918,697,607,760,670,706,584,754,353,856,1027,827,1140,696,981,1187,623,762,822,759,1401,901,860,904,687,771,871,794,878,994,889,761,1253,639,528,711,921,1046,678,814,868,663,1022,995,760,1142,1039
Cer 18:0;3O/16:0;(2OH),1357,1259,1144,1733,1232,1015,852,1201,1051,1261,1208,1480,1773,945,1353,1465,1201,1447,1210,1331,998,1283,1260,1318,1503,1319,1665,953,2028,1058,1715,1122,1347,1626,1339,919,1146,1585,1435,1068,1513,1309,1135,990,1357,870,1415,776
Cer 18:0;3O/24:0;(2OH),1223,1471,1174,1903,1459,1102,1928,1168,1380,1408,1060,1666,985,1557,1667,6042,672,1410,1507,1460,1404,1942,1502,1134,1128,1565,1147,999,1552,1478,1134,1364,1408,1427,1963,1706,1083,2012,1281,1152,1235,1335,1044,1539,1469,853,1468,1290
Cer 18:1;2O_26:0;(2OH),589,749,883,596,1460,806,974,1419,676,439,799,1018,751,1913,704,1101,2400,888,1056,776,1089,795,3514,1130,1305,1084,903,908,1043,1802,1146,1449,463,1346,1803,779,1125,1335,1935,903,909,1269,820,3079,1314,2477,1100,2426
Cer 18:1;2O/24:2,17823,30882,16569,22152,20844,19884,21750,21982,25812,4783,18096,37896,35222,33284,22364,24647,30170,20717,29869,26863,25757,28456,12715,20339,25949,18429,23600,14630,30818,21986,24561,27031,23759,22817,15228,17479,21096,23786,30285,23154,23331,15413,19740,36303,22420,16243,39547,28447
Cer 18:1;2O/26:0,4803,5504,4901,4888,5428,3811,3880,3929,4723,2447,4389,5096,5494,3953,4747,12160,5140,3584,5058,5721,5195,6139,3146,5464,6213,4688,4066,3703,6487,4759,5569,4597,6194,6399,4880,4561,4793,4772,5365,3951,4875,3674,4604,5819,3899,3533,6885,4633
Cer 18:2;2O/22:0,4292,7319,4883,3454,5498,5811,5674,6357,6330,1353,4019,5156,7972,8135,5951,5584,6950,4357,6054,7173,6866,6389,3517,5080,8244,5507,6133,4368,6986,5127,4579,5887,9114,7322,4311,4321,5791,4109,6452,5391,5529,3896,5195,6781,4655,3744,6590,5812
Cer 18:2;2O/23:0,2684,4255,2178,2087,2225,3352,2586,3461,2773,940,2132,2776,3313,3965,2985,3352,2948,3061,2898,3778,2958,3359,1900,3240,3218,2409,3240,2599,3535,2880,3542,4271,3831,3486,2742,2358,2863,2857,3463,3475,2668,3096,3155,3511,2671,2228,3046,3556
Cer 18:2;2O/24:1,3231,4786,3913,2788,3076,2604,3490,3570,3331,2112,3438,4489,3579,4852,2760,3574,4181,3053,3967,3754,4058,4484,3073,3238,4173,3302,3767,3082,3167,4169,3575,4344,3618,4105,2521,3087,3567,4226,4079,3534,2816,3538,3315,4648,3703,2372,4995,3872
Cer 20:0;2O/24:0,2839,2616,3050,2292,3503,1770,2344,2148,2527,1639,2151,1578,1616,1937,2467,11583,2113,2125,2651,2664,1991,2510,2219,2702,2413,2621,2180,1647,3310,2446,2689,2927,2680,3394,2404,2197,2093,2798,2455,2074,2538,2314,2621,2345,1414,1808,2698,2051
Cer 20:0;2O/25:0,1932,2478,1585,1366,1289,1016,1375,600,1226,1842,1118,897,1684,1413,1092,4174,798,1745,1181,1437,947,2100,1235,1233,1173,972,776,1057,911,1781,1103,1072,1229,1345,1142,1471,1086,1584,1139,979,1088,1304,1189,1102,1023,968,1257,848
Cer 20:0;2O/26:0,1640,1814,1368,1597,1416,904,1405,1126,1035,1402,1395,1147,1370,1719,1836,6980,943,1760,2080,1687,1737,1622,844,1408,1261,1316,969,1251,1033,1568,1708,1302,1486,1588,1712,933,1333,1165,1490,1102,1256,1377,1210,1187,1150,1015,1536,1049
