"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 40:1",0.44929,0.97452,0.87005,0.77428,0.79247,0.82805,0.8466,0.851
"PC P-34:1 or PC O-34:2 Isomer A",0.44872,1.2584,1.2809,1.31,1.3119,1.3551,1.3836,1.3771
"PE P-38:4 or PE O-38:5",0.44659,0.62553,0.86242,0.91963,0.86238,0.88073,0.89959,0.8973
"MG 20:4",0.44421,1.019,0.9313,1.1168,1.0539,1.0359,1.0749,1.071
"SM 42:2;3O",0.44324,0.45768,0.41246,0.66126,1.0764,1.0591,1.0456,1.0413
"Cer d41:2",0.43824,0.41472,0.42487,0.4389,0.50405,0.54658,0.5415,0.53904
"PI 36:1 Isomer A",0.43665,0.93929,0.80481,0.82214,0.77066,0.76156,0.75761,0.75497
"LNAPE 18:2/N-20:0",0.43601,0.61831,0.5272,0.58592,0.55928,0.55557,0.55067,0.55478
"OxPC 36:3+1O",0.43345,0.55522,0.68879,0.61334,0.58796,0.57839,0.57669,0.58027
"TG 53:4",0.43319,0.62863,1.1266,1.0135,0.96599,0.96159,0.94941,0.94498
"Cer d34:0",0.43319,0.79953,0.73899,0.67332,0.66511,0.65208,0.65194,0.65428
"docosanamide",0.4321,0.6562,0.57937,0.55657,0.54296,0.53348,0.52896,0.52919
"PA 18:1_18:1",0.42863,0.52927,0.5479,0.62034,0.58189,0.60742,0.59999,0.59716
"LPC 20:3",0.42097,0.29161,0.31248,0.71261,0.96398,1.0055,0.999,0.99899
"PE P-40:4 or PE O-40:5 Isomer A",0.41392,0.40174,0.8036,0.7149,0.70633,0.70801,0.77157,0.77654
"PC 38:6 Isomer A",0.41268,1.0558,0.8979,1.038,1.0205,1.0242,1.0167,1.0217
"SM d30:1",0.4058,1.2525,1.1754,1.06,1.0025,1.0035,1.0117,1.016
"TG 49:0",0.40546,1.1859,1.1051,1.156,1.1268,1.1074,1.101,1.0978
"PC 35:2 Isomer B",0.39986,0.708,0.67291,0.65141,0.60989,0.61485,0.617,0.61408
"LPE O-16:1",0.39671,1.0494,1.0293,1.0881,1.0395,1.0192,1.0391,1.0434
"PC 30:6",0.38981,0.3269,0.84547,0.78303,0.87787,0.86805,0.87632,0.87232
"PC O-31:7",0.38839,0.70179,0.97802,1.1127,1.4887,1.4631,1.4457,1.4395
"SM 42:7;3O",0.38796,1.0051,0.93503,1.7839,1.6703,1.8788,1.8753,1.8668
"PC O-30:0",0.38598,0.98024,0.83062,0.74512,0.70327,0.68919,0.69932,0.69597
"PS 38:3",0.38148,0.42824,0.90777,0.93533,1.0101,0.99047,0.97829,0.9877
"LPC p-18:0",0.37993,0.26139,0.24895,0.44999,0.42149,0.64065,0.64847,0.67141
"PS 18:0_22:6",0.37854,0.26529,0.53067,0.54101,0.60931,0.6514,0.64383,0.64068
"LPE 18:0",0.37676,0.6038,0.89795,0.81814,0.77894,0.81593,0.81219,0.81679
"TG 52:3",0.37465,0.26599,0.95504,1.2713,1.1947,1.1864,1.1754,1.1742
"PE O-18:1_16:0",0.37136,0.62682,1.3209,1.9274,1.8829,1.8569,1.866,1.874
"FA 16:1 (palmitoleic acid)",0.36852,1.0711,0.90583,0.80636,0.84176,0.84144,0.83511,0.83576
"PEtOH 16:0_20:4",0.3584,1.2016,1.1837,1.1426,1.1336,1.1878,1.1759,1.2159
"Cer 18:0;2O/24:0",0.35593,0.31874,0.54274,0.53605,0.60981,0.61513,0.60758,0.60902
"PC P-38:3 or PC O-38:4 Isomer B",0.35207,1.1253,0.96604,0.8984,0.89761,0.88658,0.90222,0.89818
"TG 54:1",0.35185,0.79196,0.86745,0.97813,1.0783,1.0565,1.0436,1.0387
"PC 28:0",0.35144,0.24621,0.29134,0.40894,0.50742,0.51174,0.66919,0.67856
"TG 49:2",0.35033,1.0958,1.1759,1.0803,1.0126,1.0023,0.98964,0.98519
"SM d39:2 Isomer B",0.34796,0.36472,0.47751,0.556,0.65349,0.64173,0.63413,0.63104
"Cer-NDS d40:0",0.34606,0.26708,0.50727,0.4908,0.62302,0.63963,0.63461,0.63423
"PC 38:5 Isomer A",0.34413,0.83443,0.74558,0.96507,1.0098,1.0204,1.0075,1.0036
"GlcCer d42:1",0.33619,1.3301,1.156,1.2025,1.1421,1.122,1.1112,1.1096
"PC 24:0",0.33174,0.50305,0.96589,0.86391,0.90139,0.88336,0.88928,0.8947
"SM d44:3",0.33123,0.56942,0.94228,0.87394,0.83957,0.82993,0.83493,0.83983
"SM d40:4",0.32754,0.71179,0.64645,0.58254,0.5929,0.58194,0.57498,0.5737
"SM d31:1",0.32552,0.70355,0.59444,0.5687,0.58271,0.57975,0.57619,0.57622
"PE 38:4",0.32515,0.67233,0.72626,0.65602,0.68701,0.67558,0.85528,0.85435
"Cer d33:1",0.32248,0.66442,0.89508,0.80489,0.75805,0.74295,0.73626,0.73272
"SM 44:1;2O",0.31488,0.32538,0.37385,0.35822,0.50017,0.58052,0.6019,0.60089
"LPC 16:1",0.31254,0.56828,0.51223,0.79536,0.74462,0.76777,0.88523,0.88092
"TG 46:1",0.31202,1.1434,1.2454,1.4899,1.4424,1.4135,1.4016,1.3948
"Cer d39:1",0.30842,0.22966,0.65554,0.67029,0.65483,0.66009,0.65184,0.64974
"PC 38:2",0.3001,0.68285,0.59309,0.54128,0.52184,0.51394,0.53469,0.53391
"PC O-30:1",0.2885,0.61164,0.72653,0.653,0.61268,0.60288,0.5954,0.59417
"PI 34:2 Isomer B",0.27578,0.29697,0.51488,0.45959,0.58175,0.5722,0.61106,0.61861
"PE P-36:2 or PE O-36:3",0.27413,0.5451,0.887,0.7949,0.75801,0.76622,0.77468,0.78731
"PI 32:1",0.2628,0.35632,0.55813,0.54718,0.56374,0.55294,0.5487,0.54845
"TG 44:0",0.26246,1.0169,1.1309,1.1591,1.1142,1.0926,1.0866,1.0824
"PC P-38:4 or PC O-38:5 Isomer A",0.26014,1.5433,1.3039,1.3852,1.3544,1.3433,1.3316,1.325
"LPC 15:0",0.25751,0.28038,0.28578,0.47579,0.4695,0.51382,0.63441,0.65025
"PC 37:3",0.25632,0.22499,0.46218,0.47004,0.47242,0.4674,0.47747,0.48
"PE-O 18:1_22:6",0.24976,0.5861,0.87209,0.77733,0.73294,0.74385,0.78691,0.78875
"GlcCer d40:1",0.24792,1.0815,0.92256,1.0092,0.952,0.93759,0.93778,0.95027
"FA 19:1",0.24603,1.4941,1.34,1.2324,1.1557,1.1357,1.1251,1.1195
"LPC 14:0",0.2454,0.17139,0.23234,0.30903,0.48745,0.51646,0.75167,0.74795
"SM d41:2 Isomer A",0.24392,0.65645,0.56265,0.50056,0.5135,0.50321,0.50161,0.50836
"PI 16:0_16:0",0.23608,1.0772,0.91546,1.0101,1.0441,1.0317,1.019,1.0154
"SM d32:1",0.23319,1.4319,1.3005,1.2375,1.1604,1.1376,1.1235,1.118
"TG 50:3 Isomer A",0.22392,0.39231,0.98875,1.3542,1.2727,1.2508,1.2354,1.2293
"Cer d42:0",0.21984,0.2569,0.34702,0.32603,0.59407,0.61424,0.62338,0.62528
"Cer 18:1;2O/26:0",0.21591,0.26417,0.55492,0.52496,0.52744,0.52801,0.5228,0.52295
"PE O-16:1_18:1",0.21519,0.4416,0.80733,0.72523,0.68485,0.68405,0.77108,0.77349
"PS 40:4",0.21343,0.41955,0.53569,0.53607,0.56718,0.5631,0.58844,0.5857
"TG 42:0",0.2062,1.146,1.1283,1.0365,0.99018,0.97045,0.97029,0.9655
"FA 22:2 (docosadienoic acid)",0.19732,1.4396,1.2313,1.3075,1.2609,1.2387,1.225,1.2191
"CE_13-HODE",0.18917,1.1453,0.99733,0.89701,0.87276,0.86365,0.85854,0.85489
"PC 35:3",0.18898,0.51264,0.46692,0.41572,0.402,0.4209,0.41853,0.42023
"LPC 20:4",0.18441,0.46721,0.3983,1.1353,1.4504,1.436,1.4197,1.4149
"PC 40:6 Isomer B",0.17214,0.64751,0.57713,0.59056,0.74386,0.91049,0.89895,0.90087
"PC 37:4",0.16984,0.12328,0.70073,1.1313,1.0592,1.0687,1.0572,1.0524
"PC P-36:2 or PC O-36:3",0.16861,0.83634,0.70832,0.75583,0.7084,0.70226,0.71027,0.70928
"PI 34:2",0.16258,0.32836,0.48295,0.43715,0.66547,0.65696,0.65016,0.64707
"LPC P-16:0 or LPC O-16:1",0.15807,0.4266,0.37062,0.9563,0.89807,0.99164,0.9962,0.99131
"PC 40:5 Isomer A",0.15463,0.48419,0.53636,0.58112,0.82594,0.84704,0.83886,0.8403
"TG 50:4",0.15409,0.29575,0.88288,1.1515,1.1335,1.1178,1.1037,1.1025
"TG 53:3",0.1469,0.4874,0.94232,1.0433,1.0073,0.99193,0.97956,0.97485
"TG 51:1 Isomer B",0.14584,0.7458,0.91595,1.3137,1.2314,1.2105,1.1953,1.1897
"PS 36:2",0.14523,0.45702,0.77884,0.69808,0.72939,0.72099,0.71393,0.71064
"LPC 32:0",0.14275,0.41381,0.41773,0.56314,0.65596,0.64272,0.63817,0.63515
"Cer d40:0",0.14226,0.22796,0.30756,0.2741,0.52436,0.56894,0.56855,0.56873
"LPC P-18:0 or LPC O-18:1",0.1422,0.71813,0.61089,0.7594,0.73513,0.88293,0.8823,0.90391
"PC 36:5 Isomer D",0.14021,1.1431,0.99943,0.92181,0.96351,1.0525,1.114,1.1461
"TG 54:2",0.13606,0.096204,0.80174,1.0895,1.225,1.2142,1.2024,1.1997
"TG 53:2",0.13236,0.24148,0.78828,1.1293,1.0924,1.0727,1.0597,1.0545
"PE O-16:1_22:6",0.1309,1.0914,0.97519,0.97136,0.9102,0.92979,0.95054,0.94702
"PC 36:4 Isomer B",0.12704,0.69343,0.76692,0.7594,0.75654,0.81528,0.81505,0.81446
"TG 40:0",0.12571,1.7689,1.6712,1.4898,1.4743,1.4495,1.4317,1.4254
"SM d36:0 Isomer B",0.1253,1.1425,1.0052,0.95475,0.92053,0.91629,0.90783,0.90873
"PI 18:0_20:4",0.12222,0.36407,0.76285,0.82072,0.78676,0.88133,0.87079,0.86973
"TG 49:1",0.1221,0.99016,1.076,1.2225,1.1485,1.1257,1.1114,1.1073
"TG 54:0",0.11444,1.4218,1.2874,1.1679,1.1392,1.1526,1.1468,1.1412
"TG 51:2 Isomer A",0.11319,0.67352,1.0291,1.2509,1.1867,1.1658,1.1515,1.1468
"SM 30:2;2O (FA 14:0)",0.11301,0.23971,0.25144,0.35325,0.36847,0.36581,0.41255,0.41805
"TG 16:0_18:1_20:0",0.11247,0.29967,0.8797,1.0793,1.212,1.2046,1.1967,1.1944
"PGE2",0.10942,0.57678,0.67017,0.59807,0.7373,0.75051,0.7499,0.75438
"TG 52:4",0.10759,0.22453,1.0072,1.1748,1.0998,1.0837,1.0789,1.0797
