"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Cer d41:2",-0.0092747,-0.035724,0.037729,0.009589,-0.068884,0.063815,-0.017744,0.0083024
"Cer d42:0",0.0020803,-0.0059608,0.016043,0.067703,-0.093222,0.07411,-0.01969,-0.062451
"Cer d42:1",-0.080162,0.0068723,-0.0033558,0.067281,-0.054459,0.038815,0.0033227,-0.030593
"Cer d42:2 Isomer A",-0.1087,0.0073307,0.0032859,0.042521,-0.031371,0.0056159,0.0084763,-0.038774
"Cer d42:3",-0.064382,-0.0051361,0.027688,0.014472,-0.028215,0.061419,0.026979,-0.062553
"Cer d43:1",0.037178,-0.033169,0.016869,0.048543,-0.061463,0.061458,0.0037013,-0.035186
"Cer d43:2",0.063839,-0.051207,0.067265,0.0028784,0.0086724,-0.01138,0.0013173,0.013991
"Cer d44:1",-0.042106,0.0087115,-0.021784,0.021832,-0.027732,0.038245,-0.021447,-0.045364
"Cer d44:2",0.076677,-0.054468,0.063523,-0.0061242,0.0054393,-0.040863,0.013995,-0.04534
"Cer d46:1",0.078937,-0.049422,0.035323,0.00074648,0.0016703,0.011824,0.038185,0.036932
"Cer d46:2",0.059219,-0.079269,0.043952,0.0038287,0.038746,-0.028927,-0.012387,0.016323
"Cer-NDS d39:0",0.056135,-0.039509,0.021387,-0.022308,0.019525,0.045107,0.025646,-0.061993
"Cer-NDS d40:0",0.02116,-0.040503,0.054329,0.027073,-0.080656,0.057083,-0.0012268,-0.057396
"Cer-NDS d41:0",0.060004,-0.044304,0.01844,0.0197,-0.035295,0.020167,0.015973,-0.062083
"Cer-NDS d43:0",0.066947,-0.041095,0.058441,-0.026018,-0.012473,0.012812,0.01771,0.011371
"Cer-NP t42:0",0.062252,-0.0023976,-0.034219,0.042129,-0.012457,0.038024,-0.0073436,0.011437
"Cholesterol",-0.07139,0.064508,-0.035839,0.016527,0.03595,-0.070681,-0.029785,0.075728
"cholesterol 3-sulfate",0.02185,0.015531,0.0081554,0.015453,-0.019778,-0.0041534,0.0047424,-0.02758
"cis-13-docosenoic acid",0.049214,0.028856,0.017946,0.011142,-0.011306,-0.014578,-0.068903,-0.0097486
"DG 18:1_18:2",0.061166,-0.03567,-0.041742,0.073551,-0.017915,-0.086705,0.049557,0.055068
"DG 34:1",0.07236,-0.021153,-0.057736,0.085637,-0.017371,0.0060181,0.014993,0.025152
"docosanamide",0.043631,-0.049958,0.030417,-0.038693,0.025506,0.000054433,0.0016182,0.011662
"FA 14:0 (myristic acid)",0.062312,-0.078147,-0.020008,-0.0091757,0.049901,0.068921,-0.042211,0.011698
"FA 14:1 (physeteric acid)",0.070071,-0.046255,0.010363,-0.047634,0.051336,0.075274,-0.069862,-0.056448
"FA 15:0 (pentadecylic acid)",0.069917,-0.034718,0.0055981,-0.012896,0.0070695,0.047003,-0.016726,0.0062026
"FA 15:1",0.084176,-0.0019756,0.018931,-0.017501,-0.00077121,0.018219,-0.02128,-0.080668
"FA 16:1 (palmitoleic acid)",0.058753,-0.064542,-0.0055932,-0.038622,0.028703,0.055719,0.00092491,-0.032128
"FA 17:0 (margaric acid)",0.046713,-0.054924,0.0061016,0.018742,-0.020854,0.043621,0.0097695,-0.01953
"FA 18:1 (oleic acid)",-0.0039634,-0.082616,-0.0093364,0.048889,0.00091698,0.045855,-0.05962,0.027589
"FA 18:2 (linoleic acid)",-0.055042,-0.10293,0.049886,-0.078196,0.058039,0.015339,-0.039591,0.047365
