"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"acylcarnitine 18:1",0.8036,0.7299,0.7334,0.89064,0.87075,0.89559,0.88916,0.9014
"PC 16:0_azealic acid (PCPAz-PC)",0.80349,0.67494,1.2666,1.1096,1.0699,1.0426,1.0452,1.0439
"4-methyl-2-oxopentanoic acid",0.80337,1.3085,1.1938,1.2004,1.1595,1.1449,1.1414,1.143
"PI 36:4",0.8015,0.97922,0.83975,1.0183,0.95986,1.0142,1.0013,1.017
"TG 47:0|TG 14:0_16:0_17:0",0.79721,1.1015,0.91796,0.87422,0.83976,0.81938,0.82391,0.82018
"PC 16:0_14:0",0.79526,1.1072,0.9198,1.0031,0.99182,0.96662,0.97541,0.96916
"TG 51:4",0.79522,0.77321,0.98323,0.89151,0.8442,0.82504,0.81546,0.81347
"Cer d32:1",0.79511,0.59583,1.1234,1.0513,1.0154,0.99085,0.99487,0.99632
"PC 36:4 Isomer C",0.79147,1.2477,1.1088,0.98937,0.96845,1.0448,1.0314,1.0247
"FA 20:2 (eicosadienoic acid)",0.78944,1.2373,1.2006,1.0649,1.0891,1.0617,1.0545,1.0695
"SM d32:2",0.78474,1.2179,1.0202,0.89805,0.87394,0.89118,0.89491,0.91036
"PC 42:2",0.78406,0.67902,0.58839,0.73969,0.7155,0.69958,0.71711,0.71535
"SM d31:1",0.78068,1.1741,0.99242,0.8726,0.83767,0.83349,0.82242,0.82924
"SM d30:1",0.76377,1.527,1.3709,1.2072,1.148,1.1504,1.144,1.1448
"PC P-40:4 or PC O-40:5",0.75366,1.3351,1.1187,1.041,0.9956,1.04,1.036,1.0296
"SM 42:1;3O",0.74531,0.6539,0.62536,0.60344,0.68274,0.69486,0.68562,0.68291
"TG 52:5",0.74407,0.60719,0.74762,0.89622,0.88303,0.8652,0.86898,0.86486
"TG 43:0",0.73736,1.2678,1.0497,0.92962,0.87714,0.87581,0.87553,0.87158
"PC P-42:4 or PC O-42:5",0.73657,1.0963,0.92926,1.0117,1.0096,1.0822,1.0686,1.0618
"PC 29:0",0.73453,0.80242,0.6682,0.59054,0.57698,0.56236,0.63166,0.62935
"PMeOH 16:0_18:1",0.73366,0.53266,0.7502,1.3642,1.6602,1.642,1.6394,1.6477
"LPC O-16:0",0.7302,0.50805,0.57069,1.2133,1.1428,1.1833,1.2006,1.1956
