"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Cer d41:2",-0.029436,-0.015307,0.014426,-0.0059,0.018095,0.092769,-0.078102,-0.0079957
"Cer d42:0",0.038323,-0.027532,-0.046034,0.023463,-0.029148,0.023864,-0.04124,0.017862
"Cer d42:1",-0.026878,0.0044015,-0.014501,-0.00638,-0.055044,0.10765,-0.054493,0.046364
"Cer d42:2 Isomer A",-0.02957,0.034022,0.0054272,-0.020706,-0.065125,0.098048,-0.054666,0.03447
"Cer d42:3",-0.077578,0.0085281,0.031223,-0.002797,-0.027408,0.072971,-0.05901,0.026866
"Cer d43:1",-0.027019,-0.023646,-0.011307,0.045556,-0.048108,0.043085,-0.035668,0.018798
"Cer d43:2",0.03818,-0.046801,0.028081,0.035731,-0.03427,-0.012095,0.033184,0.010655
"Cer d44:1",-0.024244,-0.0020236,0.0057812,0.033214,-0.049938,0.06067,-0.03877,0.027799
"Cer d44:2",0.0092497,-0.049991,0.091911,0.015773,-0.041823,-0.00017697,0.072606,0.015986
"Cer d46:1",0.08232,-0.067289,0.044871,0.022985,-0.077013,-0.0021128,0.022778,-0.038236
"Cer d46:2",0.069568,-0.056224,-0.0051352,0.0014522,-0.09026,0.011358,0.032076,-0.082554
"Cer-NDS d39:0",0.045261,-0.040665,0.057046,0.051518,-0.065922,-0.022495,-0.015001,-0.012962
"Cer-NDS d40:0",0.060607,-0.060583,-0.013656,-0.0064373,-0.010797,0.011229,-0.03743,0.033725
"Cer-NDS d41:0",0.059612,-0.032667,0.001142,0.049133,-0.031783,-0.011682,-0.031774,0.041062
"Cer-NDS d43:0",0.079694,-0.059947,0.060014,0.02764,-0.030371,-0.0012899,0.022241,-0.028281
"Cer-NP t42:0",-0.054302,-0.0066998,-0.023795,0.078789,-0.056592,0.013616,-0.049407,-0.0011197
"Cholesterol",-0.013024,-0.041408,0.0090134,0.068261,-0.10337,0.026166,0.020641,-0.010509
"cholesterol 3-sulfate",0.016909,-0.039651,0.021419,0.0086403,-0.041368,0.011986,0.014774,-0.070076
"cis-13-docosenoic acid",0.010515,-0.020226,0.049962,0.0059929,-0.036165,-0.0095149,-0.0037364,0.040184
"DG 18:1_18:2",-0.097142,0.059332,-0.014496,0.060258,-0.0047798,-0.047421,-0.0085077,0.066054
"DG 34:1",-0.018174,0.044454,-0.056373,0.050029,-0.08643,0.0028368,-0.048875,0.081724
"docosanamide",-0.033889,-0.0022647,0.06043,0.050853,-0.067579,-0.034756,-0.0072351,0.02623
"FA 14:0 (myristic acid)",0.12255,-0.08834,-0.015303,-0.0052155,0.0053014,-0.02338,0.012931,-0.012811
"FA 14:1 (physeteric acid)",0.10489,-0.075265,-0.0066409,-0.028963,0.020438,0.014016,-0.0011449,0.025578
"FA 15:0 (pentadecylic acid)",0.037546,-0.082092,-0.0046032,0.0082208,-0.030035,-0.020279,0.036086,-0.048903
"FA 15:1",0.052392,-0.081763,0.0056367,-0.017677,-0.064739,0.00064117,0.028901,0.016324
"FA 16:1 (palmitoleic acid)",0.057896,-0.10641,-0.013031,0.00011509,-0.011291,-0.024441,0.0083002,0.030838
"FA 17:0 (margaric acid)",0.026828,-0.029571,0.012724,0.031915,-0.083343,0.022868,0.006746,-0.011498
"FA 18:1 (oleic acid)",0.012955,-0.025038,0.049536,-0.010903,-0.031896,-0.0044744,-0.0010333,0.053452
"FA 18:2 (linoleic acid)",0.016276,-0.089735,0.13135,-0.048829,0.00059847,-0.0068055,-0.045141,0.12421
"FA 18:3 (linolenic acid)",0.007053,-0.049002,0.1192,-0.013703,0.02552,-0.066829,-0.024673,0.06169
"FA 19:1",0.064895,-0.088633,-0.012431,0.030336,-0.035446,-0.017677,-0.011376,0.0053333
"FA 20:2 (eicosadienoic acid)",0.052988,-0.096976,0.043455,-0.044301,-0.047867,-0.0094361,-0.0046488,0.11271
"FA 20:3 (homo-gamma-linolenic acid)",0.085147,-0.1142,0.12253,-0.10307,0.0099175,0.014086,-0.06394,0.12575
"FA 20:4 (arachidonic acid)",0.082281,-0.14295,0.1637,-0.13729,0.043619,-0.0057265,-0.063348,0.15736
"FA 20:5 (eicosapentaenoic acid)",0.049979,-0.092625,0.12108,-0.10013,0.096046,-0.078473,-0.046273,0.10516
"FA 22:0 (behenic acid)",0.015111,-0.067594,0.018785,0.032712,-0.028025,-0.011096,0.047441,-0.049094
"FA 22:1 (erucic acid)",-0.028846,-0.067191,0.0035535,0.072477,-0.071688,0.015886,-0.01318,0.052738
"FA 22:2 (docosadienoic acid)",0.030009,-0.074273,0.02781,0.036289,-0.043259,-0.047645,0.035216,0.02764
"FA 22:4",0.10118,-0.10957,0.13236,-0.1267,0.029753,-0.0018581,-0.034806,0.14023
"FA 22:6 (docosahexaenoic acid)",0.10532,-0.1285,0.1715,-0.10851,0.042646,-0.098585,-0.025375,0.14835
"FA 23:0",0.010381,-0.068827,0.011421,0.035,-0.039173,-0.020489,0.054457,-0.061263
"FA 24:1 (nervonic acid)",0.0039736,-0.093713,0.013293,0.04733,-0.062905,0.04021,0.010919,-0.027942
"FA 28:0 (montanic acid)",-0.021768,-0.045322,0.019763,0.055153,-0.015211,-0.033735,0.058832,-0.050287
"FA 30:0",0.00795,-0.039348,0.0084215,0.069318,-0.031957,-0.012243,0.028031,-0.032846
"FA 32:0",-0.031092,-0.021537,-0.0061079,0.087008,-0.029833,-0.033793,0.021906,-0.012242
"FAHFA 18:0/20:2",0.019017,-0.046375,0.010481,0.0074791,0.019664,-0.012561,0.07914,-0.14858
"FAHFA 38:4",0.033922,-0.0072203,0.061138,-0.055633,-0.015878,0.0026761,-0.026879,0.099445
"GlcCer d34:1",-0.0027927,-0.026375,-0.009124,0.00036528,-0.070121,0.061395,0.0018987,-0.023636
"GlcCer d40:1",-0.039263,-0.00351,-0.024007,0.030352,-0.055412,0.039799,0.020742,0.037557
"GlcCer d41:1",-0.024607,-0.027646,0.00090082,0.055446,-0.034206,0.028627,-0.04702,0.0099334
"GlcCer d42:1",-0.027077,-0.031397,-0.015953,0.041737,-0.0581,0.045304,0.016035,0.023418
"GlcCer d42:2",-0.04792,0.011788,-0.0066287,0.029724,-0.053901,0.056073,-0.012655,0.030148
"GlcCerd14:14E/20:02OH",-0.014947,0.016321,0.0321,0.0003994,-0.052564,0.087381,-0.061974,0.02002
"Hex3Cer 18:1;2O/16:0",-0.06152,0.012697,0.024338,0.019017,-0.044231,0.069875,-0.066339,-0.025175
"HexCer 18:1;2O/24:0",0.0029508,0.0060445,-0.014988,0.031097,-0.073888,0.034178,-0.019566,0.052522
"lactosylceramide d18:1/24:1 15Z",-0.013226,0.00051302,-0.035202,-0.042812,-0.054651,0.088301,-0.015897,0.0016961
"LNAPE 18:2_N-19:0",-0.060367,-0.0018233,0.021535,-0.0018698,-0.024737,0.042312,-0.043792,0.041132
"LNAPE 18:2/N-20:0",-0.056531,-0.021022,0.019902,0.039246,-0.054969,-0.0035087,0.0010921,-0.055923
"LPC 14:0",0.095255,-0.04229,-0.055553,0.027384,0.024921,0.0007848,-0.064553,0.050779
"LPC 15:0",0.050723,-0.053191,-0.0086952,0.030592,0.00081792,0.035744,-0.10536,0.029684
"LPC 16:0",0.0013622,-0.068346,0.0055625,0.056598,0.010323,0.04214,-0.12608,0.065374
"LPC 16:1",-0.028436,-0.039366,-0.0088687,0.035605,0.034647,0.024115,-0.088196,-0.019488
"LPC 17:0",0.0074623,-0.061651,0.0093407,0.049717,-0.017823,0.024625,-0.096864,0.0094307
"LPC 18:0",-0.022819,-0.066142,0.0096721,0.045726,-0.0044099,0.035571,-0.10092,0.043568
"LPC 18:1",-0.003528,-0.048983,0.0079295,0.0099428,0.04607,0.04343,-0.098948,-0.008949
"LPC 18:2",-0.022381,-0.043724,0.060931,-0.007644,0.062686,-0.0284,-0.066255,-0.023483
"LPC 20:0",0.0021927,-0.055016,0.047891,0.032659,-0.036331,0.0097711,-0.014052,0.0051982
"LPC 20:1",0.021155,-0.068251,0.023498,0.037823,-0.058443,0.020109,0.001401,0.027396
"LPC 20:2",0.025845,-0.097799,0.041641,0.0089325,-0.019116,0.0080985,-0.042289,-0.011289
"LPC 20:3",0.015774,-0.082479,0.041257,-0.04825,0.12118,0.021193,-0.088397,0.020069
"LPC 20:4",-0.011336,-0.11766,0.093951,-0.071771,0.2039,-0.036279,-0.049457,0.025087
"LPC 20:5",-0.017047,-0.10101,0.071771,-0.015964,0.14933,-0.01604,-0.062429,-0.047448
"LPC 22:6",-0.012374,-0.10761,0.09619,-0.055794,0.16367,-0.10668,-0.041002,0.042097
"LPC 32:0",-0.056697,0.0060312,-0.023031,0.034193,-0.040712,0.059491,-0.033706,-0.024076
"LPC O-16:0",0.019021,-0.084325,0.044289,-0.0044299,-0.024346,0.080467,-0.080135,0.053642
"LPC O-20:1",0.11841,-0.047117,-0.049661,0.012456,-0.091642,0.019585,-0.018333,0.053472
"LPC O-22:0",0.0082739,-0.048968,-0.015521,0.015496,-0.031179,0.051491,0.0054293,-0.021744
"LPC O-24:0",0.011413,0.0021764,-0.0070588,0.033177,-0.0043171,0.032695,0.0040151,-0.03402
"LPC O-24:1",-0.0044727,-0.03073,0.0077272,0.024545,-0.024993,0.04826,0.016512,0.02172
"LPC P-16:0 or LPC O-16:1",0.0047327,-0.05212,0.027748,-0.00050719,-0.026189,0.097956,-0.075695,0.015447
"LPC p-18:0",0.011423,-0.082766,0.037101,0.0034667,-0.016441,0.091473,-0.074301,0.054045
"LPC P-18:0 or LPC O-18:1",0.040503,-0.076727,0.043719,0.0073154,-0.03529,0.023166,-0.069916,0.019824
"LPE 16:0",0.02318,-0.055995,0.11217,-0.066133,-0.049183,0.059658,-0.001162,0.040718
"LPE 18:0",0.020177,-0.02911,0.058957,-0.057145,-0.056154,0.045277,-0.019934,0.10518
