"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PE O-40:5 Isomer B",0.44905,0.39604,0.37879,0.61848,0.60566,0.59759,0.59461,0.61507
"FA 22:0 (behenic acid)",0.44744,0.5867,0.64105,0.63561,0.6237,0.61767,0.62245,0.62029
"SM d44:2 isomer A",0.44474,0.78862,0.7391,0.71356,0.70552,0.70894,0.7113,0.70922
"Cer d41:1",0.44422,0.44657,0.42004,0.51412,0.50298,0.50885,0.52555,0.53541
"Cer d40:0",0.43948,0.87202,0.95553,0.92204,0.92251,0.91001,0.90812,0.90463
"PS 38:3",0.43241,0.69118,0.99274,0.96311,0.94274,0.93022,0.9222,0.91836
"FA 19:1",0.43076,1.1052,1.0396,0.99839,1.0089,0.99695,0.98837,0.98397
"PC O-30:1",0.42627,0.39195,0.63678,0.63281,0.63923,0.63329,0.63502,0.63318
"PE 38:4",0.42131,0.45346,0.4281,0.61396,0.60788,0.5983,0.61402,0.61897
"PC P-40:4 or PC O-40:5",0.4193,0.56633,0.5385,0.51719,0.69352,0.68905,0.68951,0.6864
"TG 56:7 Isomer B",0.41623,0.55305,0.6073,0.60024,0.59458,0.67288,0.67914,0.68267
"FA 18:2 (linoleic acid)",0.41043,0.56075,0.80814,0.83335,0.8155,0.80286,0.79575,0.81183
"PC 40:4",0.40816,0.53781,0.57222,0.57481,0.6265,0.63524,0.63053,0.6279
"PC 35:3",0.40789,0.38104,0.54591,0.54652,0.53919,0.60585,0.62152,0.62164
"LPI 18:0",0.40529,0.66901,0.95707,0.96427,0.94358,0.92869,0.92471,0.92271
"SM d42:2 Isomer B",0.3999,0.44512,0.43878,0.42381,0.50335,0.49924,0.50811,0.50606
"PC 35:2 Isomer B",0.39288,0.67472,0.65638,0.6434,0.62974,0.67816,0.68978,0.68893
"PEtOH 16:0_16:0",0.38422,0.55275,0.79836,0.80503,0.82688,0.81449,0.86002,0.85692
"PC 32:0",0.37805,0.42502,0.3983,0.39369,0.43587,0.42929,0.44682,0.44685
"LPC P-18:0 or LPC O-18:1",0.37723,0.78278,0.7447,0.73312,0.76945,0.76571,0.78592,0.78241
"LPS 18:0",0.37424,0.80666,0.89419,0.8932,0.87456,0.86072,0.86828,0.86458
"PE P-38:4 or PE O-38:5",0.37282,0.69841,0.71807,0.72385,0.71773,0.72083,0.71766,0.71451
"Cer 18:2;2O/23:0",0.37128,0.34124,0.32603,0.41747,0.43629,0.46418,0.46832,0.47579
"Cer 18:1;2O/24:2",0.37083,0.47357,0.48534,0.49081,0.50083,0.60333,0.59851,0.61401
"Cer d36:2",0.3652,0.59327,0.71718,0.78938,0.79782,0.80287,0.94571,0.94285
"PC P-44:4 or PC O-44:5",0.36364,0.52985,0.52639,0.50554,0.60121,0.59183,0.60431,0.60235
"Cer 58:11;2O",0.36156,0.32224,0.34383,0.68628,0.6725,0.6659,0.66006,0.65986
"TG 49:1",0.35951,0.93155,0.98406,0.9935,0.97848,0.97644,0.96779,0.96348
"TG 47:2",0.35834,0.69715,0.68744,0.66725,0.68286,0.68623,0.6804,0.69205
"TG 22:0",0.35245,1.0648,1.0132,0.98898,0.97732,0.98131,0.97292,0.97339
"FA 22:2 (docosadienoic acid)",0.34884,0.64221,0.6586,0.63455,0.65978,0.65005,0.66189,0.6626
"PC 36:5 Isomer D",0.34752,0.7138,0.67848,0.67904,0.74024,0.8514,0.85066,0.84871
"FA 20:4 (arachidonic acid)",0.34467,1.24,1.2241,1.364,1.3445,1.3235,1.3118,1.3268
"PE P-36:2 or PE O-36:3",0.34376,0.46828,0.52931,0.89083,0.87437,0.86435,0.88011,0.8771
"PC 32:1",0.34336,0.29614,0.76102,0.7524,0.73994,0.72915,0.74724,0.744
"SM d44:1",0.33977,0.40301,0.38302,0.37372,0.39441,0.42661,0.44147,0.43948
"acylcarnitine 08:0",0.33906,0.83715,0.78756,0.77,0.95313,0.93916,0.93279,0.94084
"PC 34:1",0.33212,0.29349,0.4113,0.4221,0.44609,0.43912,0.45596,0.4539
"SM 30:2;2O (FA 14:0)",0.33188,0.5237,0.49126,0.47189,0.54823,0.54554,0.54836,0.54794
"PE P-36:1 or PE O-36:2",0.32899,0.76237,0.73462,0.88846,0.87263,0.90243,0.9034,0.89991
"PC 37:3",0.32567,0.38881,0.44137,0.44683,0.43879,0.51238,0.52187,0.51984
"PE P-36:4 or PE O-36:5",0.32406,0.3419,0.3671,0.92201,0.90265,0.88909,0.89623,0.89318
"PC 30:0",0.32245,0.29258,0.48524,0.58289,0.57782,0.59332,0.58893,0.58627
"5-HETE",0.32232,1.3061,1.3273,1.3601,1.3394,1.322,1.329,1.3344
"PC 33:1",0.31933,0.27774,0.84069,0.80826,0.79306,0.78909,0.8206,0.81725
"SHexCer 34:1;3O",0.31437,0.29743,0.34657,0.33395,0.36207,0.35646,0.3533,0.36102
"LPC 20:0",0.31325,0.34025,0.54783,0.53122,0.5448,0.53619,0.533,0.53058
"SM d33:1",0.31099,0.49433,0.47586,0.47094,0.48241,0.48032,0.55393,0.55176
"SM d31:1",0.31089,0.2703,0.48352,0.46968,0.47698,0.47072,0.48058,0.4817
"Cer 20:0;3O/24:0;(2OH)",0.30606,0.34646,0.6826,0.67704,0.66516,0.6603,0.65968,0.65853
"TG 58:8",0.29901,0.79732,0.75743,0.73335,0.7202,0.76167,0.78761,0.7972
"PI 38:3",0.29702,0.64852,0.68066,0.66805,0.65354,0.67999,0.68797,0.69463
"PEtOH 16:0_16:1",0.29436,0.69552,0.67325,0.70977,0.7172,0.70956,0.73965,0.7514
"PI 34:1 Isomer A",0.29258,0.33988,0.38354,0.37065,0.36269,0.37822,0.44996,0.45997
"SM d40:4",0.28423,0.32929,0.32358,0.31931,0.31367,0.31972,0.33475,0.34702
"LPC 20:1",0.28255,0.48648,0.5824,0.58062,0.57555,0.58624,0.5861,0.59156
"Cer d34:0",0.28214,0.24923,0.33581,0.33354,0.36124,0.36259,0.38234,0.38318
"TG 50:1",0.28162,0.25395,0.59157,0.83142,0.8226,0.81123,0.80952,0.81144
"SM 44:1;2O",0.27947,0.37704,0.51778,0.5119,0.50873,0.53641,0.53922,0.5389
"SM d38:0 Isomer A",0.27908,0.59179,0.55747,0.53952,0.5331,0.52858,0.54065,0.55659
"PC P-36:3 or PC O-36:4",0.27854,0.6285,0.58866,0.63289,0.70036,0.72172,0.71553,0.71318
"SM 20:0;2O/22:3",0.27663,0.30134,0.33699,0.32456,0.48012,0.47661,0.47257,0.47883
"PC 38:2",0.27158,0.25013,0.33345,0.33452,0.33304,0.36628,0.40032,0.40142
"GlcCerd14:14E/20:02OH",0.26859,0.40904,0.42605,0.41151,0.40747,0.42983,0.46145,0.45937
"cis-13-docosenoic acid",0.26463,0.22931,0.35233,0.34714,0.37293,0.36706,0.36613,0.37103
