"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Cer d43:2",0.047972,0.66791,0.65366,0.63765,0.61791,0.64834,0.64425,0.64524
"trihydroxyoctadec-15-enoic acid",0.046698,1.3731,1.244,1.5833,1.6907,1.6527,1.6405,1.6361
"SM 24:1",0.045647,0.20626,0.28885,0.32134,0.4416,0.55223,0.55724,0.56449
"PC P-44:4 or PC O-44:5",0.039266,0.69836,0.8924,0.83448,0.80803,0.79752,0.79541,0.79323
"LPE 18:1",0.03485,2.0879,1.8545,1.7209,1.6664,1.6559,1.6514,1.6464
"Cer d46:2",0.033565,1.3927,1.2431,1.1907,1.153,1.1274,1.1271,1.1234
"SM 18:0;2O/21:0",0.03287,0.61055,0.54808,0.54019,0.59393,0.58395,0.58243,0.58305
"PC 35:3",0.032687,0.25304,0.59703,0.55587,0.5392,0.52858,0.52955,0.5293
"SM d40:2 Isomer B",0.029884,0.49675,0.56368,0.56281,0.63429,0.66083,0.65683,0.65494
"SM 44:1;2O",0.028057,0.097438,0.32015,0.49794,0.48221,0.5985,0.5995,0.59754
"PC 30:0",0.027865,0.59049,0.53744,0.52121,0.5747,0.58293,0.57765,0.57615
"SM 42:2;3O",0.027139,0.80052,0.71465,0.70023,0.77179,0.76077,0.75787,0.75545
"LPC P-18:0 or LPC O-18:1",0.026914,0.88532,0.8771,0.85339,0.84045,0.88194,0.87444,0.87744
"SM d42:1",0.024801,0.4044,0.38993,0.6263,0.60644,0.73889,0.7493,0.74883
"PC P-40:4 or PC O-40:5",0.024436,0.36619,1.1508,1.0751,1.0481,1.0299,1.0241,1.0266
"GlcCer d41:1",0.024371,0.83912,0.86996,0.8465,0.89467,0.89857,0.8915,0.89039
"PC 19:2",0.019811,0.28956,0.51047,0.47979,0.6421,0.68416,0.69215,0.6918
"FA 17:0 (margaric acid)",0.019477,0.96078,0.89941,0.87015,0.84271,0.82447,0.81701,0.81855
"acylcarnitine 18:1",0.013887,0.18807,0.2524,0.41021,0.40287,0.56068,0.58524,0.58745
"FA 32:0",0.010992,0.5197,0.56927,0.54714,0.53222,0.52058,0.52318,0.53117
"PC 36:4 Isomer B",0.0047717,0.16095,0.97763,0.97189,0.94108,0.92887,0.92054,0.9213
"PC O-31:7",0.0020025,0.63786,0.57469,0.55373,1.3556,1.3288,1.3259,1.3265
