"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Cer d41:2",-0.018001,0.046832,-0.018036,0.016094,0.038016,-0.029258,0.059399,0.0033191
"Cer d42:0",0.035697,0.05161,-0.033234,0.0071726,0.054403,-0.088403,-0.0085974,0.05709
"Cer d42:1",-0.0020028,0.052994,-0.021744,-0.032407,0.081179,-0.092022,0.0063892,0.035738
"Cer d42:2 Isomer A",-0.032892,0.028112,-0.0010651,-0.044507,0.09444,-0.13519,0.021344,0.04096
"Cer d42:3",-0.032352,0.02278,0.0023207,-0.022241,0.070184,-0.16315,0.07979,0.056857
"Cer d43:1",0.0064973,0.020366,-0.022013,-0.0083434,0.036915,-0.034944,0.04754,0.00039941
"Cer d43:2",-0.023143,0.069553,-0.012611,-0.020776,-0.033212,0.042598,0.044179,-0.014115
"Cer d44:1",-0.0043753,0.018805,-0.001304,0.00057351,0.044276,-0.077911,0.043071,-0.02147
"Cer d44:2",-0.032975,0.049253,0.0019125,-0.026818,-0.030399,0.041093,0.0013482,-0.020016
"Cer d46:1",-0.044237,0.018471,-0.014439,0.0033269,-0.019849,0.012711,0.078643,-0.042431
"Cer d46:2",-0.045161,0.062121,-0.0069079,0.039423,-0.0061402,0.038248,-0.053141,-0.022317
"Cer-NDS d39:0",-0.0012713,0.059089,-0.018749,-0.063077,-0.030521,0.069939,0.10474,0.024002
"Cer-NDS d40:0",0.013927,0.086074,-0.037699,-0.015753,0.017224,-0.024802,-0.043099,0.068667
"Cer-NDS d41:0",-0.023803,0.070334,-0.053046,-0.022304,0.013026,0.00069281,0.021836,-0.006163
"Cer-NDS d43:0",-0.034403,0.084145,-0.018323,0.011143,-0.038672,0.0043079,0.04033,-0.0045953
"Cer-NP t42:0",0.045118,-0.036321,-0.0031139,-0.04641,0.033633,-0.052206,0.024903,-0.0097254
"Cholesterol",-0.013588,-0.003411,-0.019629,-0.034248,0.03108,0.073888,0.012436,-0.061281
"cholesterol 3-sulfate",-0.0074004,0.023851,0.020165,-0.0009093,-0.018289,0.028825,0.0431,-0.012654
"cis-13-docosenoic acid",-0.010819,-0.0052328,0.0091892,0.021601,-0.051269,0.004258,0.11453,-0.041139
"DG 18:1_18:2",0.091993,-0.054798,-0.028749,0.077738,-0.026501,-0.03416,0.017643,0.052337
"DG 34:1",0.054397,0.022475,-0.029695,0.014484,-0.013811,0.021598,-0.084519,0.06365
"docosanamide",0.018295,0.041612,0.022496,0.0049091,0.014898,-0.012127,-0.015951,-0.06539
"FA 14:0 (myristic acid)",0.017632,0.094594,-0.044963,0.014677,-0.040263,0.015076,0.033203,-0.049021
"FA 14:1 (physeteric acid)",0.034259,0.047553,0.040533,0.076259,-0.081538,-0.045652,0.093229,-0.023954
"FA 15:0 (pentadecylic acid)",-0.010689,0.092042,-0.016019,0.030821,-0.039154,-0.030403,0.062274,-0.074325
"FA 15:1",0.0156,0.056587,0.025954,0.096581,-0.080996,-0.0361,0.07204,-0.073075
"FA 16:1 (palmitoleic acid)",0.0253,0.074957,0.018214,0.10273,-0.040922,-0.079522,0.082508,-0.049927
"FA 17:0 (margaric acid)",-0.029149,0.088089,-0.010116,-0.02843,-0.0074533,0.0074765,0.036942,-0.020453
"FA 18:1 (oleic acid)",0.0090373,0.10493,-0.039233,0.04011,0.021893,-0.13244,0.043699,-0.016721
"FA 18:2 (linoleic acid)",-0.061437,0.053047,-0.071673,0.11678,-0.0060231,-0.11445,0.1369,-0.031184
"FA 18:3 (linolenic acid)",-0.018356,-0.032285,-0.070911,0.12326,-0.014456,-0.097033,0.1565,-0.016309
"FA 19:1",-0.0034067,0.077369,-0.020696,0.060033,-0.018049,-0.031004,0.077801,-0.053114
"FA 20:2 (eicosadienoic acid)",-0.040539,0.071371,-0.0023789,0.072672,-0.031431,-0.03193,0.098335,-0.0067134
"FA 20:3 (homo-gamma-linolenic acid)",-0.11124,0.10773,-0.091051,0.05685,-0.0057708,-0.026673,0.019646,0.020227
"FA 20:4 (arachidonic acid)",-0.13162,0.10943,-0.10406,0.076716,-0.0099676,-0.011036,0.028271,-0.037456
"FA 20:5 (eicosapentaenoic acid)",-0.063706,0.024241,-0.10196,0.11197,0.0012757,0.013845,-0.060736,-0.094791
"FA 22:0 (behenic acid)",-0.01814,0.052571,-0.025325,0.020782,-0.046781,-0.00071177,0.08,-0.059012
"FA 22:1 (erucic acid)",0.01757,0.062815,-0.013844,0.064094,0.038646,-0.030568,-0.051938,-0.030944
"FA 22:2 (docosadienoic acid)",-0.028417,0.00083533,0.017255,0.050339,-0.0093897,0.069259,0.10172,-0.07851
"FA 22:4",-0.11339,0.12894,-0.082666,0.071089,-0.016704,-0.019696,0.051453,-0.0021408
"FA 22:6 (docosahexaenoic acid)",-0.10713,0.044708,-0.11081,0.14361,-0.002705,0.013302,-0.048525,-0.09259
"FA 23:0",-0.025108,0.052001,-0.017142,0.0014437,-0.040406,-0.0040139,0.058877,-0.067898
"FA 24:1 (nervonic acid)",-0.023553,0.0031017,-0.035016,-0.0064905,0.04172,-0.020662,0.066857,-0.050368
"FA 28:0 (montanic acid)",-0.02139,-0.004469,-0.0078171,0.029989,-0.060027,-0.00027639,0.081594,-0.059076
"FA 30:0",-0.004175,-0.016647,-0.012085,0.017774,-0.038692,-0.0059898,0.099677,-0.076809
"FA 32:0",0.016781,-0.067276,0.022567,0.026678,-0.011986,-0.013689,0.074434,-0.048306
"FAHFA 18:0/20:2",-0.047595,0.050365,-0.03802,-0.018619,-0.03938,-0.024299,0.0053765,-0.025007
"FAHFA 38:4",0.0013562,0.13553,-0.047734,0.069419,0.038398,-0.22342,0.052712,0.018573
"GlcCer d34:1",-0.023676,0.02055,0.0081571,-0.037893,0.029699,-0.010472,0.032487,-0.035877
"GlcCer d40:1",0.0011925,-0.040011,0.032829,-0.013939,0.045563,0.018887,0.02164,-0.06284
"GlcCer d41:1",-0.025109,-0.0019425,0.025588,-0.02841,0.042494,0.055141,0.0093221,-0.035251
"GlcCer d42:1",-0.011867,-0.053061,0.018406,-0.013676,0.060573,0.032319,-0.034504,-0.039336
"GlcCer d42:2",-0.014116,-0.07226,0.014087,-0.025388,0.026602,-0.046276,0.023393,-0.074682
"GlcCerd14:14E/20:02OH",-0.026503,-0.0056445,0.015824,-0.078756,0.050764,-0.053366,0.036708,-0.040452
"Hex3Cer 18:1;2O/16:0",-0.032851,0.00022781,0.010627,-0.05,0.059383,-0.012679,0.069181,-0.051196
"HexCer 18:1;2O/24:0",0.023064,-0.015961,0.012276,-0.049432,0.036022,0.017108,-0.040584,-0.031316
