"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 32:0",0.90152,1.5833,1.4187,1.2913,1.2354,1.2212,1.1974,1.1813
"TG 55:4",0.88449,0.90927,0.97035,0.88937,1.0481,1.0438,1.023,1.01
"PE-O 18:1_22:6",0.8746,1.3804,1.5665,1.4214,1.3639,1.3448,1.3111,1.2943
"PC 38:6 Isomer A",0.87093,0.89966,0.96377,0.8869,0.84789,0.8482,0.88897,0.877
"TG 51:0",0.86678,0.79819,0.71403,0.7338,0.72773,0.75649,0.73701,0.74944
"TG 60:1",0.8629,1.0785,0.96668,0.89732,0.85522,0.83822,0.84081,0.82949
"LPE O-16:1",0.85901,0.55075,0.61889,0.76476,0.75986,0.76763,0.74775,0.73982
"SM d36:0 Isomer B",0.85563,0.70438,0.6301,0.57154,0.55473,0.65551,0.65473,0.66853
"TG 47:3 Isomer B",0.83976,1.0182,0.98391,0.90198,0.8665,0.85417,0.84753,0.84035
"PI 36:1 Isomer A",0.83511,1.2021,1.1328,1.1915,1.1432,1.1211,1.1132,1.1462
"Cer d41:2",0.82205,0.7079,0.68357,0.73445,0.69992,0.75126,0.73174,0.72953
"PC P-36:3 or PC O-36:4",0.81887,0.83716,0.74877,0.71119,0.67967,0.66755,0.72185,0.82701
"Cer d43:1",0.81434,0.52892,0.47403,0.46411,0.51046,0.54692,0.53473,0.52849
"LPS 18:0",0.8103,1.4975,1.3674,1.3458,1.2934,1.2867,1.2545,1.2458
"PC 35:2 Isomer B",0.80893,0.64044,0.65238,0.59351,0.57134,0.56035,0.55269,0.56567
"Cer d46:1",0.80656,1.105,0.98947,0.90546,0.86346,0.84603,0.82412,0.85515
"LPC O-22:0",0.80295,0.49076,0.96264,1.0116,0.96429,0.97019,0.94576,0.97417
"SM d36:0 Isomer A",0.79688,0.88806,0.81525,0.7454,0.7217,0.71971,0.70848,0.74824
"LPC P-16:0 or LPC O-16:1",0.79642,0.71024,0.89559,1.0266,1.0448,1.0388,1.0671,1.0625
"LPC O-16:0",0.79386,0.98848,1.2973,1.4331,1.3985,1.3705,1.3398,1.3444
"PEtOH 16:0_16:0",0.79287,1.2864,1.2153,1.5907,1.5269,1.4955,1.4791,1.5093
"PE 38:6",0.79198,1.0152,1.3609,1.2401,1.2536,1.2332,1.2051,1.1927
"acylcarnitine 08:1",0.78978,0.48383,0.5032,0.55898,0.74288,0.75104,0.76625,0.76004
"TG 51:3",0.78649,0.64144,0.62152,0.7925,0.93192,0.92222,0.95464,0.9418
"LPC 16:0",0.77981,1.9244,1.9005,1.7966,1.7204,1.6851,1.6613,1.6391
"LPC O-24:0",0.77686,0.78602,0.80462,0.73693,0.70965,0.7248,0.70567,0.7009
"acylcarnitine 18:1",0.77406,1.7071,1.5277,1.3861,1.3252,1.3347,1.3231,1.3061
"Cer d34:2 Isomer A",0.76203,1.0194,0.94159,0.98349,0.97572,0.95884,0.95008,0.93741
