"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"13-HODE",0.54042,0.99432,1.1209,1.117,1.0824,1.0804,1.0863,1.0852
"PC P-34:0 or PC O-34:1",0.53698,0.43777,0.50108,0.47098,0.46621,0.50327,0.53864,0.54773
"TG 52:5",0.53506,0.8406,0.81179,0.75112,0.72807,0.75479,0.77657,0.77335
"Cer 20:0;3O/24:0;(2OH)",0.53289,0.43299,0.40996,0.63708,0.65309,0.65086,0.69035,0.68736
"SHexCer d34:1",0.53007,0.7099,0.69377,0.67476,0.80102,0.79233,0.7871,0.78343
"PE O-18:1_22:6",0.52378,0.47387,0.51741,0.77729,0.75456,0.74624,0.74005,0.73676
"PI 18:0_20:4",0.51955,0.41591,0.51531,0.59468,0.57709,0.64678,0.63966,0.63679
"SM d42:3",0.5192,0.56508,0.57179,0.70469,0.68306,0.6944,0.6876,0.69418
"PI 38:4",0.51904,0.54168,0.76962,0.776,0.80027,0.80873,0.80491,0.80781
"Cer d43:1",0.51803,0.42398,0.39191,0.54628,0.54504,0.54194,0.56385,0.56127
"PC 32:2",0.51669,0.84649,0.84083,0.93702,0.91884,0.90788,0.89779,0.89442
"OxPC 36:3+1O",0.51564,0.96354,0.86225,0.80215,0.86236,0.8525,0.8452,0.84235
"LPC P-16:0 or LPC O-16:1",0.51017,0.67573,1.2067,1.1791,1.1827,1.1889,1.175,1.1697
"FA 28:0 (montanic acid)",0.50976,0.60047,0.56618,0.93921,0.93328,0.93079,0.92201,0.9199
"TG 54:5 Isomer A",0.50904,0.95382,0.94976,0.88813,0.86306,0.8608,0.8507,0.84912
"SM d38:2",0.50686,0.66405,0.60279,0.57082,0.58031,0.5778,0.60575,0.61594
"SM 42:2;3O",0.50664,0.84031,0.7757,0.7273,0.70567,0.6986,0.73501,0.73394
"Cer 18:0;3O/24:0;(2OH)",0.50619,0.58186,0.83058,0.77196,1.0172,1.0183,1.0065,1.0203
"SM d44:2 isomer A",0.5047,0.45729,0.60434,0.63876,0.75975,0.75563,0.76533,0.76176
"SM d41:2 Isomer A",0.49709,0.77351,0.72692,0.68382,0.66883,0.66639,0.662,0.66194
"PC P-44:4 or PC O-44:5",0.49638,0.52847,0.51319,0.60864,0.60456,0.61907,0.61178,0.63075
"TG 54:6 Isomer B",0.49214,0.44861,0.59824,0.56326,0.84347,0.84557,0.84866,0.84468
"PC 38:2",0.48893,0.61431,0.56556,0.66806,0.6519,0.65217,0.66289,0.66414
"SM d33:1",0.48374,0.65717,0.67415,0.66764,0.68173,0.68154,0.76958,0.76716
"PC 36:5 Isomer D",0.48063,0.97697,0.89237,1.1773,1.1478,1.1742,1.1803,1.1817
"PC 33:3",0.4803,0.44699,0.4068,0.40937,0.45568,0.45083,0.52903,0.52966
"TG 22:0",0.4748,0.66228,0.62977,1.0947,1.0689,1.0682,1.0692,1.0855
"TG 64:3",0.47376,0.49741,0.49819,0.75392,0.77585,0.78043,0.7867,0.78392
"SM d43:1",0.46796,0.4414,0.5777,0.53898,0.52574,0.52568,0.55731,0.55505
"Cer 18:0;2O/24:0",0.46781,0.72122,0.71122,0.6571,0.66493,0.66479,0.6709,0.66786
"SM d44:1",0.46641,0.37524,0.49592,0.4578,0.49446,0.51179,0.5271,0.52938
"PC 33:2",0.46318,0.37816,0.3502,0.68031,0.69182,0.68751,0.69405,0.69117
"LPC 20:5",0.46307,0.9555,1.0487,0.98875,0.95909,0.95397,0.94291,0.94038
"cis-13-docosenoic acid",0.46147,0.37987,0.37367,0.60988,0.63169,0.62396,0.62325,0.62338
"PC 34:4",0.46097,0.83627,0.92995,0.95067,1.0799,1.0691,1.0569,1.0588
"SM d39:1",0.4579,0.39177,0.37971,0.41674,0.45991,0.45482,0.52604,0.52512
"acylcarnitine 18:2 Isomer A",0.45071,0.93698,0.88689,0.81968,0.79644,0.78974,0.78047,0.78775
"SM d38:3",0.44817,0.79314,0.7073,0.65406,0.71971,0.71615,0.74963,0.74798
"PI 34:2 Isomer B",0.43783,0.93834,0.84905,0.78363,0.79435,0.79012,0.79551,0.82849
"PI 32:1",0.43768,1.0066,0.91672,0.85705,0.83142,0.82638,0.81812,0.81523
"Cer d41:2",0.43748,0.5795,0.74289,0.7443,0.72177,0.71585,0.76406,0.76906
"Cer d42:2 Isomer A",0.43665,0.42022,0.45147,0.47032,0.48935,0.53741,0.55051,0.55385
"PC O-18:0_16:0",0.43369,0.40845,0.44775,0.45931,0.49136,0.49274,0.50072,0.50129
