black	darkred	green	skyblue	purple	yellow	darkgreen	pink	midnightblue	royalblue	grey60	violet	magenta	darkturquoise	blue	lightcyan	darkmagenta	darkolivegreen	steelblue	paleturquoise	cyan	lightyellow	greenyellow	turquoise	salmon	darkorange	tan	lightgreen	red	darkgrey	orange	saddlebrown	brown	white	grey	Probe	Module
-0.37316782639423	-0.5144174479097	-0.605734709104349	-0.134028756197139	-0.41247279035068	-0.192327890820319	0.134515260385738	0.178067260392189	0.138469879600425	0.15111216081182	0.192054197176833	-0.223067773182839	0.239988477047667	0.701111761315269	0.409086613159471	0.255327314464645	0.422817454550206	0.462245028507127	-0.164206221595868	0.218746184227426	-0.091142215726655	-0.11159955191965	0.298232699546558	0.518054174603852	0.0131983205824515	-0.299771299319614	-0.582674838571278	-0.143192052453066	-0.104485118753601	0.051090415163228	-0.212276262447846	-0.0758230824616277	-0.466336709958238	-0.368808817037323	-0.266435415854199	1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)	grey
0.876912132170241	0.480779808574501	0.565745150540135	0.500307682164466	0.150034993394424	0.111558651447328	0.0538926047771731	-0.246443514820139	-0.200899306690259	0.0720747515701426	-0.220885002521178	0.00283492972628148	-0.395752163673512	-0.567154763537878	-0.308081693733952	-0.249774267715354	-0.404122768182332	-0.306318229018292	0.257069395901769	0.216177270849157	0.335390671583686	0.444620607036133	-0.167977737842661	-0.36408821022711	-0.0853531030640812	0.349696095226289	0.345820442073076	-0.0938953669346724	-0.24029530316468	-0.185631535351361	-0.0130667276201791	-0.267960210049891	0.17568855175138	-0.0962078927295342	0.15594521226784	13-HODE	black
-0.025902031657396	0.224806660938732	0.215197867751945	-0.0369372353639941	-0.114013001458527	-0.0888198532980784	-0.0232189224804976	-0.0101470628694725	0.0256329351704463	-0.0135248863248367	0.147780887802612	0.247093488434306	0.0808572355727901	0.0692942182661716	-0.0306217593020116	0.0147977828810463	-0.0707544044028809	-0.0310595309961725	-0.0840318195079926	0.102598036125083	0.166127552417933	0.278343738410117	-0.269900456861173	-0.123216597434966	-0.0828103507618457	-0.0398920046446805	-0.0524517370201278	-0.0574523120796731	0.0959550992615927	-0.198062734967176	-0.00130836297030746	-0.0248224781043986	0.271952412948941	0.212221119949761	0.00806056216146823	16,16-dimethylprostaglandin A1	grey
0.880325223111652	0.514477313439363	0.616247308043503	0.738783874555828	0.181585430802248	0.382192842377238	0.077074529145261	-0.118925373158737	-0.115391511292944	0.0937076084801321	-0.253131948885125	0.0465824602959402	-0.400280964543392	-0.29342486413753	-0.391699591063557	-0.396484937769585	-0.508181519985389	-0.359119001805234	-0.0398403205185494	0.444932583404576	0.140621888911741	0.361234789795636	-0.0802305894387262	-0.171499854180234	-0.314044863523033	0.11321060288702	0.0223973819649933	-0.18161419234382	-0.437084302024329	-0.211400698331151	-0.210973876340529	-0.456745035062909	-0.0386352465747465	-0.336936002690566	0.325622033247075	4-HDoHE	black
-0.0782456688465536	-0.133321878524415	-0.238102356281503	-0.068960411273462	-0.334542802459894	-0.231184617647079	0.699204300781619	0.318710754543953	0.255346443235116	0.2310074220222	-0.0400850193981774	-0.206831267033043	0.164625828268146	0.159390201821996	0.118086922175786	-0.0582788560464097	0.139061529124681	0.433066108062344	0.0255625878311756	0.221074223806201	0.17322349085472	0.166567256185737	-0.0503635627910063	0.0704320416216489	-0.158357322737865	-0.220420288369839	-0.21966710151538	-0.197341125914998	-0.257083246941973	-0.165193544729594	-0.15772740034783	-0.256623030102667	-0.26994054692572	-0.351377617761867	0.0517425343713567	4-methyl-2-oxopentanoic acid	darkgreen
0.911454212961354	0.43025135340329	0.66724610006106	0.641368716344892	0.187693755412472	0.273190850043433	0.000960086516368472	-0.198431861972258	-0.226868003421064	0.0337761297371179	-0.328532791336649	0.031699240758546	-0.536910852010431	-0.53888918692744	-0.555774802580932	-0.52363432590013	-0.5768886560181	-0.383454487043402	0.219560004146234	0.456871402898299	0.28694185718208	0.435510356140811	0.0209016343814944	-0.116178437269966	-0.159722577011706	0.264593460147873	0.300456575987388	0.0393947791700905	-0.221543034297488	0.00512767655231947	-0.0511551863274379	-0.240863850481658	0.12989101175033	-0.149134305081913	0.346304112066574	5-HETE	black
0.705779072307295	0.515811774244245	0.739998776002276	0.422099572562591	0.135252418605345	0.260594010915018	0.0576834032222848	-0.116089293307658	-0.121630483664916	-0.0995334232988218	-0.0967238977263316	0.131224232097337	-0.284065839714409	-0.459662678229777	-0.418787686736428	-0.354218971623838	-0.540731013275204	-0.443942434445038	-0.0586329728748159	0.287542839044529	0.201213948213539	0.379420362850826	-0.200390260844066	-0.152654725542366	-0.211231861575071	0.218929500072871	0.245163258330365	0.077420050840079	-0.159910314687571	-0.0911411008999549	-0.0448228427091747	-0.217311422697486	0.214732957473876	-0.0326485530335636	0.400608300506125	8,15-DiHETE	black
-0.245891382423572	0.147718071957797	0.185459182651821	-0.173593288739347	0.159718034270822	0.110868298807268	-0.201909970249693	-0.0352371814537981	0.0115826362767657	-0.179591832995049	-0.0124523884746913	0.466400339493637	0.0833775353704579	0.06713478128168	0.187905453780655	0.10131823347468	-0.05798580295653	-0.0102985293353589	0.00174651706377996	-0.291328116222507	-0.255272635242204	-0.190303582140795	-0.252727977673025	-0.213033437612004	-0.0357105441620135	0.193162485979868	0.207696792568472	-0.0163987831175124	0.0861113500727175	-0.033690772331672	0.0961364823298317	0.0628130554735542	0.243921215146776	0.13463450322962	0.0235129775586297	acylcarnitine 08:0	grey
-0.092567722586837	0.0780644310573608	0.150859508391855	-0.0899893353960244	0.0371177027240353	-0.0161482471334232	-0.00494334292350973	-0.13365499622026	-0.189242696281051	-0.379277580678948	0.0249741570012867	0.246962418654684	0.106253836333442	0.0614961784265084	0.117035413094446	0.0806997537126483	-0.171963600821177	0.105097675113834	0.14448043423678	0.0980037505010597	0.0261839837134757	0.0185832121492608	-0.0333703148868944	0.0927051227346812	0.113601784467846	0.0809632309757941	0.0858331442423954	0.121060351749925	0.242832465175323	0.135495778783033	0.159754128702576	0.156985424488911	0.266407036751326	0.157775639001322	-0.0041857734515755	acylcarnitine 08:1	grey
-0.282402243731438	-0.220043079409926	-0.16862814033543	-0.171737964503116	-0.282022687651736	-0.263054924698088	0.202066092438409	0.156490430015883	0.00513170315083448	-0.0976303551671282	-0.159584992801454	0.273920597540526	0.113765755822826	0.254723733224893	0.125105417196456	0.0519228985461131	0.172595858346665	0.450150951934831	0.278201740110465	0.11516655217005	0.169807733346931	0.165841175500508	0.0273740268091015	0.126965549064696	0.0987733605854337	0.143935078585806	0.0311512544646925	0.129726316197747	0.110914857652232	0.110676158093524	0.121395853629318	0.163515676053888	0.0957831173002374	0.0332915037209507	-0.127846012075771	acylcarnitine 10:0	grey
