"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"TG 58:4",1.3025,1.1262,1.0899,1.2391,1.2031,1.1884,1.1782,1.1771
"PE O-16:1_18:1",1.3018,1.0283,1.1792,1.0867,1.07,1.0652,1.0565,1.0551
"PC 16:0_22:6",1.3012,1.028,0.91051,0.83816,0.82466,0.84618,0.83778,0.83405
"PC 29:0",1.2973,1.0285,0.9531,0.89032,0.87675,0.86896,0.85865,0.85461
"LPE 18:1",1.2971,1.3203,1.2066,1.1351,1.1715,1.1571,1.1446,1.1407
"PS 16:0_22:4",1.2918,1.6323,1.539,1.4176,1.4286,1.411,1.396,1.3908
"Cer d42:0",1.2849,1.0771,0.98176,0.90308,0.88251,0.87839,0.87287,0.87013
"PC 32:0",1.2768,1.1083,1.0997,1.0121,0.98987,0.9929,0.98184,0.98832
"SPB 25:0;2O",1.2722,1.0231,0.92703,1.0944,1.0879,1.0764,1.1412,1.1804
"SM 25:2;2O/15:1",1.2643,1.419,1.2666,1.2057,1.1897,1.1751,1.1846,1.1839
"5-HETE",1.2632,1.5244,1.9897,1.8326,1.7892,1.7743,1.7689,1.7717
"SM 38:4;3O",1.2564,1.0599,0.99035,1.0753,1.0778,1.0662,1.0608,1.0564
"PE P-36:1 or PE O-36:2",1.2501,1.0346,1.1999,1.1392,1.1301,1.118,1.1066,1.1014
"TG 56:2 Isomer B",1.2447,1.0311,0.91608,0.84674,0.83999,0.8294,0.83532,0.83705
"FA 22:4",1.243,1.7632,1.7054,1.5779,1.5743,1.5705,1.5521,1.5502
"PC 36:4 Isomer C",1.2304,0.98025,0.86831,1.0744,1.1899,1.186,1.1723,1.1699
"4-methyl-2-oxopentanoic acid",1.2109,1.2821,1.3635,1.2544,1.2192,1.2115,1.2013,1.2323
"PC 33:0",1.2019,1.2712,1.2508,1.1792,1.1469,1.1336,1.1261,1.1208
"TG 58:3",1.1973,1.0053,0.9205,0.9729,0.98004,0.97392,0.96452,0.96935
"PEtOH 36:1",1.1951,1.416,1.2945,1.3507,1.3305,1.327,1.3503,1.3485
"Cer d40:0",1.1939,1.0163,0.96071,0.88569,0.86341,0.86057,0.86132,0.85761
"TG 40:1",1.1847,0.97336,0.99656,0.92944,0.9109,0.9493,0.94282,0.93902
"PC 35:1",1.1783,0.96014,0.93882,1.0575,1.0341,1.0218,1.0097,1.0051
"TG 55:3",1.1646,0.96996,0.88307,0.815,0.81073,0.81317,0.80424,0.81675
"16,16-dimethylprostaglandin A1",1.1537,1.208,1.5148,1.696,1.739,1.7178,1.6976,1.7139
"LPC O-24:0",1.1503,1.2111,1.1385,1.0486,1.1435,1.1395,1.1342,1.1349
"LPC 16:0",1.1366,0.95942,1.1545,1.0838,1.0598,1.06,1.0474,1.0462
"PC 37:4",1.1281,0.90429,0.83532,0.89842,0.97963,0.98807,0.97941,0.97623
"PC 40:5 Isomer B",1.1243,0.88755,0.7861,0.97757,1.0211,1.0081,0.99964,0.99497
"PC O-30:0",1.1221,1.1928,1.1558,1.0943,1.0609,1.0549,1.0423,1.0388
"PC 38:6 Isomer A",1.1129,1.1058,0.98231,1.1507,1.1388,1.1337,1.1203,1.1169
"TG 56:4",1.11,1.0722,0.97786,0.94525,0.91999,0.9105,0.90036,0.8999
"LPC 14:0",1.1074,0.87469,1.201,1.1337,1.1019,1.0887,1.0781,1.0743
"LPE 18:2",1.1002,1.1858,1.1295,1.0443,1.0298,1.0214,1.0193,1.0163
"Cer d44:2",1.099,0.88528,0.78579,0.86542,0.87015,0.8589,0.84935,0.84607
"PC P-36:3 or PC O-36:4",1.0931,0.991,0.95904,1.0341,1.0506,1.0388,1.0334,1.0299
"PC 24:0",1.0821,1.5774,1.4166,1.3137,1.2735,1.2601,1.2463,1.2453
"FA 20:3 (homo-gamma-linolenic acid)",1.0612,1.3638,1.5657,1.4419,1.4018,1.4009,1.3844,1.3813
"TG 44:2",1.0538,0.93417,0.94792,0.88134,0.85692,0.88951,0.8795,0.87688
"docosanamide",1.0492,1.406,1.2943,1.1922,1.1562,1.1671,1.188,1.1862
"PC P-38:3 or PC O-38:4 Isomer B",1.0187,0.9922,0.92723,1.1198,1.1131,1.1044,1.0918,1.092
"CE_13-HODE",1.0174,2.0326,1.8778,1.7703,1.7182,1.6978,1.6784,1.6737
"4-HDoHE",1.0162,1.1976,1.514,1.4177,1.3811,1.3633,1.361,1.3594
"PC 31:0",1.0084,1.342,1.2318,1.1694,1.1336,1.1193,1.1139,1.1091
"TG 54:3",1.006,1.4863,1.3291,1.3286,1.2908,1.2746,1.2763,1.2703
"LPC 16:1",1.0059,0.88989,0.85152,0.80457,0.78,0.79184,0.80627,0.81511
"Cer-NDS d40:0",1.0047,1.1325,1.0669,0.98231,0.96046,0.95369,0.94978,0.94534
"LPC 18:0",1.0046,0.9559,0.92783,0.85392,0.83165,0.84245,0.83776,0.84354
"TG 51:4",1.0008,0.89715,0.80498,0.74319,0.72138,0.7688,0.79703,0.79507
"Cer d41:1",0.98099,0.86526,0.76839,0.70681,0.72729,0.73271,0.75314,0.75013
"PE 38:6 Isomer B",0.97409,0.88496,0.80365,0.96266,0.93361,0.92162,0.91389,0.91055
"PC 40:6 Isomer B",0.96833,1.0906,1.0564,1.0666,1.0439,1.08,1.0672,1.0621
"PC P-34:2 or PC O-34:3",0.96707,0.78146,0.83687,1.0389,1.0089,0.99752,0.9889,0.98441
"TG 45:0",0.95518,0.75617,0.69161,0.77181,0.74823,0.74992,0.74119,0.73895
"PC O-36:1",0.95383,0.79117,0.89003,0.95774,0.92874,0.92872,0.92067,0.91907
"TG 14:0_16:0_17:1",0.94928,0.89739,0.79669,0.97602,0.94887,0.97285,0.96258,0.95941
"TG 46:2",0.94682,0.74868,0.79985,0.73605,0.72097,0.75858,0.75214,0.75923
"PC O-34:0",0.94609,0.91019,0.97062,0.89375,0.8678,0.88698,0.87646,0.87235
"PS 38:3",0.94453,0.92591,0.89994,0.84261,1.0612,1.064,1.0978,1.0935
"Cer d34:0",0.94256,1.0655,1.0996,1.1705,1.1357,1.1301,1.118,1.1132
"TG 47:2",0.9361,1.1404,1.0261,1.2078,1.1814,1.1748,1.1616,1.1636
"palmitoyl ethanolamide",0.91756,0.74081,0.76894,1.0273,0.99626,1.0262,1.015,1.0124
"PC 34:1",0.91518,0.87974,0.78622,0.76766,0.7601,0.75766,0.75254,0.75133
"LPC 32:0",0.91501,0.75388,0.81291,0.77265,0.75072,0.78062,0.78163,0.79455
"MG 20:4",0.8922,1.1001,1.4468,1.3326,1.3919,1.375,1.3608,1.3615
"PC 35:4",0.88885,0.89984,0.84767,0.79286,0.76915,0.78814,0.77872,0.80311
"PS 36:2",0.8886,0.75492,0.6924,0.63976,0.97734,1.0064,1.0426,1.038
"FA 18:2 (linoleic acid)",0.88448,1.1509,1.1026,1.0383,1.0303,1.0374,1.0251,1.0248
"TG 47:0|TG 14:0_16:0_17:0",0.88272,0.75481,0.78745,0.82197,0.80973,0.81295,0.80323,0.80211
"Cer d34:2",0.85591,0.70588,1.1404,1.0858,1.0601,1.0807,1.0956,1.092
"PC P-40:4 or PC O-40:5",0.85365,0.68141,0.6051,0.78297,0.81038,0.80199,0.81132,0.80802
