"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Cer d41:2",-0.006935,0.0081746,-0.024391,-0.037095,-0.017756,0.074836,-0.11577,0.041007
"Cer d42:0",0.046441,0.047746,-0.023254,0.0099943,-0.053658,0.015666,0.016778,-0.026457
"Cer d42:1",0.01862,0.008081,0.020513,0.0026046,-0.069387,0.098785,-0.038376,-0.02722
"Cer d42:2 Isomer A",0.0093568,0.00035538,0.053243,-0.01367,-0.10871,0.095189,-0.019359,-0.07016
"Cer d42:3",-0.0038804,-0.013744,0.029318,-0.022795,-0.061638,0.088748,-0.039282,-0.0059266
"Cer d43:1",0.026409,-0.019701,-0.03384,0.03509,0.00037308,0.055227,-0.045821,-0.0023707
"Cer d43:2",-0.0020735,0.0087371,-0.065709,0.053531,-0.029097,-0.010137,0.04445,-0.032639
"Cer d44:1",0.021929,-0.013429,-0.0038928,0.025009,-0.034556,0.061441,-0.067547,-0.010738
"Cer d44:2",-0.044899,-0.0089955,-0.056865,0.078502,-0.042658,-0.0082738,0.019021,-0.059961
"Cer d46:1",-0.0058299,0.037465,-0.084312,0.086857,-0.10183,-0.017647,0.040865,-0.047859
"Cer d46:2",-0.0010348,-0.0075183,-0.093724,0.068022,-0.053048,-0.010074,-0.012382,-0.066019
"Cer-NDS d39:0",0.0025905,0.031313,-0.037074,0.10134,-0.033233,0.0036434,0.0054469,0.0052891
"Cer-NDS d40:0",0.015933,0.093248,-0.041511,0.016741,-0.053673,0.0080784,0.038228,-0.035643
"Cer-NDS d41:0",0.030119,0.04606,-0.050518,0.02945,-0.044744,-0.0052292,0.0091363,-0.049852
"Cer-NDS d43:0",-0.015805,0.046211,-0.075693,0.074609,-0.055447,-0.019129,0.028669,-0.027513
"Cer-NP t42:0",0.044148,-0.0609,-0.042792,0.013334,0.0079285,0.0446,-0.016271,0.052857
"Cholesterol",0.019665,-0.064542,-0.085348,0.07586,-0.031793,0.028862,-0.026635,0.054825
"cholesterol 3-sulfate",-0.014785,0.0035605,-0.040753,0.062046,-0.049668,-0.0098314,0.029004,0.033171
"cis-13-docosenoic acid",-0.025158,-0.0080391,-0.038764,0.042798,0.043932,0.02284,-0.0427,0.035098
"DG 18:1_18:2",0.040008,-0.068231,0.067277,-0.024065,0.032317,-0.0019864,0.0056387,0.032349
"DG 34:1",0.069113,-0.033052,0.024669,-0.013503,-0.033961,0.050439,0.050359,0.0081126
"docosanamide",-0.0053116,-0.056812,-0.042534,0.0041203,-0.062792,0.018006,0.064594,0.020398
"FA 14:0 (myristic acid)",-0.0026672,0.070856,-0.12073,0.041872,0.058279,-0.027345,-0.01001,0.01437
"FA 14:1 (physeteric acid)",-0.018574,0.070182,-0.09953,0.028829,0.085243,0.0019535,-0.09639,0.081968
"FA 15:0 (pentadecylic acid)",-0.0092515,0.012536,-0.08687,0.086038,0.059242,-0.018802,-0.026697,0.014004
"FA 15:1",-0.021601,0.013148,-0.099424,0.077082,0.036601,0.0028056,-0.091648,0.082889
"FA 16:1 (palmitoleic acid)",-0.0012047,0.055183,-0.1083,0.065499,0.095133,0.00017659,-0.067735,0.04964
"FA 17:0 (margaric acid)",0.0048514,-0.02864,-0.059015,0.077427,0.0026725,0.033244,-0.047832,-0.019377
"FA 18:1 (oleic acid)",-0.023233,0.024096,-0.033834,0.000058671,-0.044209,0.022724,0.062781,-0.11717
"FA 18:2 (linoleic acid)",-0.077154,0.10629,-0.066675,0.0062551,-0.016145,0.062601,0.019103,-0.074415
"FA 18:3 (linolenic acid)",-0.061864,0.069581,-0.024164,0.016774,0.0031383,-0.012999,-0.015872,-0.039327
"FA 19:1",0.016487,0.050241,-0.099214,0.073138,0.046633,0.0055584,-0.023293,0.01085
"FA 20:2 (eicosadienoic acid)",-0.035826,0.075269,-0.099576,0.022833,0.0080777,0.052183,0.021328,-0.057463
"FA 20:3 (homo-gamma-linolenic acid)",-0.091733,0.16809,-0.09354,-0.018153,-0.042072,0.069626,0.014567,-0.091875
"FA 20:4 (arachidonic acid)",-0.13543,0.1953,-0.11326,-0.027893,0.0051082,0.075683,0.02808,-0.11969
"FA 20:5 (eicosapentaenoic acid)",-0.10761,0.16403,-0.036308,-0.012186,0.083166,-0.0052768,0.0052942,-0.054303
"FA 22:0 (behenic acid)",-0.0093138,-0.022041,-0.092586,0.074893,0.04008,-0.012845,0.0066497,0.024956
"FA 22:1 (erucic acid)",0.028997,-0.016022,-0.084548,0.059893,-0.0055339,0.046787,-0.0017361,-0.040589
"FA 22:2 (docosadienoic acid)",-0.0086698,0.0077549,-0.089635,0.081595,0.045056,-0.010296,0.036063,0.057504
"FA 22:4",-0.11538,0.17124,-0.087859,-0.014153,0.0067296,0.059687,0.042129,-0.12727
"FA 22:6 (docosahexaenoic acid)",-0.13028,0.18052,-0.10521,0.0016678,0.025729,-0.0099477,0.010357,-0.089534
"FA 23:0",-0.0080281,-0.028328,-0.093713,0.075913,0.015311,-0.031049,0.0048097,0.0064458
"FA 24:1 (nervonic acid)",0.012302,0.015028,-0.094395,0.08697,-0.060886,0.017789,-0.0023579,0.0038043
"FA 28:0 (montanic acid)",-0.0029769,-0.052697,-0.062198,0.077523,0.071718,-0.02452,-0.0096528,0.029359
"FA 30:0",0.015571,-0.040901,-0.069378,0.080248,0.067369,-0.00069785,-0.041734,0.020382
"FA 32:0",0.029438,-0.066282,-0.050978,0.064234,0.071419,-0.015999,-0.043217,0.067903
"FAHFA 18:0/20:2",-0.021573,-0.02774,-0.063755,0.046079,0.010592,-0.046688,0.12052,0.007851
"FAHFA 38:4",-0.036651,0.058974,-0.016124,-0.055739,-0.05928,0.04443,0.083406,-0.19623
"GlcCer d34:1",0.010665,0.011626,-0.0044571,0.05152,-0.086639,0.0421,0.035342,0.005991
"GlcCer d40:1",0.023742,-0.046807,-0.021095,0.0057637,-0.062972,0.021186,0.045019,0.041695
"GlcCer d41:1",0.027862,-0.020423,-0.054824,0.0058319,-0.038903,0.029604,-0.031028,0.071346
"GlcCer d42:1",0.024584,-0.027801,-0.040007,0.041371,-0.048071,0.026526,0.013035,0.0089668
"GlcCer d42:2",0.024473,-0.038224,0.0056144,0.0053622,-0.074929,0.03107,-0.038797,0.014565
"GlcCerd14:14E/20:02OH",-0.00069254,-0.0069488,0.012796,-0.0015734,-0.073908,0.088401,-0.082617,0.037607
"Hex3Cer 18:1;2O/16:0",0.0066479,-0.022415,0.029011,0.016156,-0.049415,0.075733,-0.071891,0.047345
"HexCer 18:1;2O/24:0",0.027189,-0.03585,-0.028852,0.01272,-0.0087083,0.06493,0.011949,-0.0074314
"lactosylceramide d18:1/24:1 15Z",0.011981,0.029639,0.037713,-0.0082511,-0.13772,0.049776,0.0597,0.0069673
"LNAPE 18:2_N-19:0",-0.0043817,-0.00012841,0.021921,-0.0079787,-0.059639,0.044712,-0.054714,-0.02086
"LNAPE 18:2/N-20:0",-0.00072041,-0.05153,-0.030236,0.036187,-0.057675,-0.0043691,0.023337,0.086003
"LPC 14:0",0.050955,0.081158,-0.065474,-0.02328,-0.00092101,-0.0011885,-0.0091678,0.026118
"LPC 15:0",0.030635,0.084871,-0.05198,0.0122,-0.010677,0.052778,-0.015203,0.070473
