"identifier","annotation","ion_species","InChiKey","mz","ret_time","ESI_mode"
"3.98_854.73","Cer 58:11;2O ","[M+H]+","GXTRSPPHWHQFMZ-NPNMLZSOSA-N","854.73019999999997","3.9750000000000001","ESI pos"
"2.14_544.45_2.15_568.49_2.14_508.48","Cer d32:1 ","[M+Cl]-_[M+Hac-H]-_[M-H]-","PIVKMDKERPTVGC-UHFFFAOYSA-N","544.4498_568.493_508.4754","2.1430000000000002","ESI neg"
"2.28_558.46","Cer d33:1 ","[M+Cl]-","QBFXCLDNTKBAPQ-STSAHMJASA-N","558.46469999999999","2.2759999999999998","ESI neg"
"2.48_574.50","Cer d34:0 ","[M+Cl]-","GCGTXOVNNFGTPQ-JHOUSYSJSA-N","574.49659999999994","2.4849999999999999","ESI neg"
"2.40_572.48_2.41_582.51_2.40_596.53","Cer d34:1 ","[M+Cl]- _[M+FA-H]-_[M+Hac-H]- ","YDNKGFDKKRUKPY-TURZORIXSA-N","572.481_582.5106_596.525","2.4043333333333332","ESI neg"
"2.18_570.47_2.18_594.51_2.18_534.49","Cer d34:2 ","[M+Cl]-_[M+Hac-H]-_[M-H]-","XXWRZIYYFPIQHE-UHFFFAOYSA-N","570.4653_594.5085_534.4859","2.1800000000000002","ESI neg"
"1.97_536.50","Cer d34:2 Isomer A ","[M+H]+","GMWIWVUTMCBDSP-UHFFFAOYSA-N","536.50390000000004","1.9650000000000001","ESI pos"
"2.11_536.50","Cer d34:2 Isomer B ","[M+H]+","BCZGPUAIZZZGTF-HSCORPAWSA-N","536.50300000000004","2.1139999999999999","ESI pos"
"2.66_600.51_2.66_624.56_2.66_564.54","Cer d36:1 ","[M+Cl]-_[M+Hac-H]-_[M-H]-","VODZWWMEJITOND-UHFFFAOYSA-N","600.5122_624.5569_564.5352","2.6586666666666665","ESI neg"
"2.43_562.52","Cer d36:2 ","[M-H]-","WNPWDGNHTKGEDS-UHFFFAOYSA-N","562.51559999999995","2.4319999999999999","ESI neg"
"2.90_628.54_2.90_652.59","Cer d38:1 ","[M+Cl]-_[M+Hac-H]-","XWBWIAOWSABHFI-NUKVNZTCSA-N","628.5438_652.5885","2.9000000000000004","ESI neg"
"2.95_608.60","Cer d39:1 ","[M+H]+","WYSRACVJQVNCRW-UHFFFAOYSA-N","608.59820000000002","2.9460000000000002","ESI pos"
"3.21_658.59","Cer d40:0 ","[M+Cl]-","SXPRAKSDHOEHIG-ZESVVUHVSA-N","658.59","3.2069999999999999","ESI neg"
"3.13_656.58_3.13_620.60","Cer d40:1 ","[M+Cl]-_[M-H]-","KEPQASGDXIEOIL-UHFFFAOYSA-N","656.5752_620.5972","3.1289999999999996","ESI neg"
"2.89_678.60_2.90_618.58","Cer d40:2 ","[M+Hac-H]-_[M-H]-","AWTNSRHUZXWBCO-UHFFFAOYSA-N","678.6038_618.5828","2.8955000000000002","ESI neg"
"3.24_670.59_3.24_680.62_3.24_694.63_3.24_634.61","Cer d41:1 ","[M+Cl]-_[M+FA-H]-_[M+Hac-H]-_[M-H]-","NAJHAHQNQCNWOP-UHFFFAOYSA-N","670.5903_680.619_694.6348_634.6133","3.2395","ESI neg"
"3.00_692.62","Cer d41:2 ","[M+Hac-H]-","KZTBXGOBTULOIO-SZHIUZGGSA-N","692.6182","2.996","ESI neg"
"3.41_686.62_3.41_710.67","Cer d42:0 ","[M+Cl]-_[M+Hac-H]-","BPLYVSYSBPLDOA-WVILEFPPSA-N","686.6215_710.6659","3.4125000000000001","ESI neg"
"3.35_684.61_3.34_708.65","Cer d42:1 ","[M+Cl]-_[M+Hac-H]-","ZJVVOYPTFQEGPH-AUTSUKAISA-N","684.6068_708.6506","3.3445","ESI neg"
"3.11_682.59_3.11_706.64_3.11_646.61","Cer d42:2 Isomer A ","[M+Cl]- _[M+Hac-H]- _[M-H]-","ZCUCZYYSYGKQQV-UHFFFAOYSA-N","682.5909_706.635_646.6138","3.1129999999999995","ESI neg"
"2.91_704.62","Cer d42:3 ","[M+Hac-H]-","KADBCXSPXAVXJL-UHFFFAOYSA-N","704.61879999999996","2.907","ESI neg"
"3.44_698.62_3.44_722.67","Cer d43:1 ","[M+Cl]-_[M+Hac-H]-","QHPYSHVSWAOLHS-PVNBSDFKSA-N","698.6221_722.6655","3.4430000000000001","ESI neg"
"3.28_662.64","Cer d43:2 ","[M+H]+","YWTUDCXNLITZPX-UHFFFAOYSA-N","662.64260000000002","3.28","ESI pos"
"3.35_712.63_3.54_736.68","Cer d44:1 ","[M+Cl]-_[M+Hac-H]-","CJROVRTUSFQVMR-GVOPMEMSSA-N","712.6326_736.6818","3.444","ESI neg"
"3.40_676.66","Cer d44:2 ","[M+H]+","IBJXLRPUPQTCQS-SJWJHEOESA-N","676.6576","3.3959999999999999","ESI pos"
"3.67_706.71","Cer d46:1 ","[M+H]+","VEMKTJHNOOUCRU-UHFFFAOYSA-N","706.70780000000002","3.665","ESI pos"
"3.58_704.69","Cer d46:2 ","[M+H]+","AXJZLCAIYPBXLK-DMFJBLMBSA-N","704.69010000000003","3.5790000000000002","ESI pos"
"3.03_610.61","Cer-NDS d39:0 ","[M+H]+","BIFMSTXKGBZSAW-UHFFFAOYSA-N","610.61300000000006","3.0259999999999998","ESI pos"
"3.14_624.63","Cer-NDS d40:0 ","[M+H]+","SXPRAKSDHOEHIG-UHFFFAOYSA-N","624.62890000000004","3.137","ESI pos"
"3.25_638.64","Cer-NDS d41:0 ","[M+H]+","FTSDYFFYZJTACJ-UHFFFAOYSA-N","638.64279999999997","3.2469999999999999","ESI pos"
"3.46_666.68","Cer-NDS d43:0 ","[M+H]+","DGTRPWXWXHWLIJ-UHFFFAOYSA-N","666.678","3.456","ESI pos"
"3.23_726.66","Cer-NP t42:0 ","[M+Hac-H]-","ZESJDNWGTANZCC-UHFFFAOYSA-N","726.6576","3.2290000000000001","ESI neg"
"1.99_369.35","Cholesterol ","[M+H-H2O]+","HVYWMOMLDIMFJA-DPAQBDIFSA-N","369.35079999999999","1.992","ESI pos"
"1.31_465.30","cholesterol 3-sulfate ","[M-H]-","BHYOQNUELFTYRT-UHFFFAOYSA-N","465.30399999999997","1.3120000000000001","ESI neg"
"1.23_339.33","cis-13-docosenoic acid ","[M+H]+","DPUOLQHDNGRHBS-UHFFFAOYSA-N","339.32659999999998","1.226","ESI pos"
"2.59_636.56","DG 18:1_18:2 ","[M+NH4]+","BLZVZPYMHLXLHG-UHFFFAOYSA-N","636.55740000000003","2.5880000000000001","ESI pos"
"2.78_612.55","DG 34:1 ","[M+NH4]+","YEJYLHKQOBOSCP-OZKTZCCCSA-N","612.55240000000003","2.778","ESI pos"
"1.77_340.36","docosanamide ","[M+H]+","ORAWFNKFUWGRJG-UHFFFAOYSA-N","340.35700000000003","1.768","ESI pos"
"0.68_227.20","FA 14:0 (myristic acid) ","[M-H]-","TUNFSRHWOTWDNC-UHFFFAOYSA-N","227.20140000000001","0.67500000000000004","ESI neg"
"0.49_225.19","FA 14:1 (physeteric acid) ","[M-H]-","AFGUVBVUFZMJMX-KTKRTIGZSA-N","225.18559999999999","0.49","ESI neg"
"0.84_241.22","FA 15:0 (pentadecylic acid) ","[M-H]-","WQEPLUUGTLDZJY-UHFFFAOYSA-N","241.21719999999999","0.84499999999999997","ESI neg"
"0.62_239.20","FA 15:1 ","[M-H]-","DJCQJZKZUCHHAL-VOTSOKGWSA-N","239.20150000000001","0.61699999999999999","ESI neg"
"0.77_253.22","FA 16:1 (palmitoleic acid) ","[M-H]-","SECPZKHBENQXJG-FPLPWBNLSA-N","253.21729999999999","0.77","ESI neg"
"1.24_269.25","FA 17:0 (margaric acid) ","[M-H]-","KEMQGTRYUADPNZ-UHFFFAOYSA-N","269.2482","1.236","ESI neg"
"1.13_281.25","FA 18:1 (oleic acid) ","[M-H]-","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","281.24930000000001","1.1299999999999999","ESI neg"
"0.85_279.23","FA 18:2 (linoleic acid) ","[M-H]-","JBYXPOFIGCOSSB-XBLVEGMJSA-N","279.23289999999997","0.85","ESI neg"
"0.65_277.22","FA 18:3 (linolenic acid) ","[M-H]-","DTOSIQBPPRVQHS-PDBXOOCHSA-N","277.21699999999998","0.65","ESI neg"
"1.30_295.26","FA 19:1 ","[M-H]-","YOKHLRHWEXTWJR-ZHACJKMWSA-N","295.26369999999997","1.296","ESI neg"
"1.25_307.26","FA 20:2 (eicosadienoic acid) ","[M-H]-","XSXIVVZCUAHUJO-HZJYTTRNSA-N","307.26369999999997","1.248","ESI neg"
"0.98_305.25","FA 20:3 (homo-gamma-linolenic acid) ","[M-H]-","HOBAELRKJCKHQD-QNEBEIHSSA-N","305.24880000000002","0.97599999999999998","ESI neg"
"0.80_303.23","FA 20:4 (arachidonic acid) ","[M-H]-","YZXBAPSDXZZRGB-DOFZRALJSA-N","303.23289999999997","0.79700000000000004","ESI neg"
"0.61_301.22","FA 20:5 (eicosapentaenoic acid) ","[M-H]-","JAZBEHYOTPTENJ-JLNKQSITSA-N","301.21730000000002","0.60799999999999998","ESI neg"
"1.86_339.33","FA 22:0 (behenic acid) ","[M-H]-","UKMSUNONTOPOIO-UHFFFAOYSA-N","339.32679999999999","1.861","ESI neg"
"1.62_337.31","FA 22:1 (erucic acid) ","[M-H]-","DPUOLQHDNGRHBS-KTKRTIGZSA-N","337.3109","1.6220000000000001","ESI neg"
"1.46_335.30","FA 22:2 (docosadienoic acid) ","[M-H]-","HVGRZDASOHMCSK-AVQMFFATSA-N","335.29570000000001","1.4610000000000001","ESI neg"
"1.11_331.26","FA 22:4 ","[M-H]-","TWSWSIQAPQLDBP-DOFZRALJSA-N","331.26440000000002","1.113","ESI neg"
"0.70_327.23","FA 22:6 (docosahexaenoic acid) ","[M-H]-","MBMBGCFOFBJSGT-KUBAVDMBSA-N","327.2328","0.70299999999999996","ESI neg"
"2.00_353.34","FA 23:0 ","[M-H]-","XEZVDURJDFGERA-UHFFFAOYSA-N","353.34210000000002","2.0030000000000001","ESI neg"
"1.87_365.34","FA 24:1 (nervonic acid) ","[M-H]-","GWHCXVQVJPWHRF-KTKRTIGZSA-N","365.34120000000001","1.8680000000000001","ESI neg"
"2.70_423.42","FA 28:0 (montanic acid) ","[M-H]-","UTOPWMOLSKOLTQ-UHFFFAOYSA-N","423.4203","2.6970000000000001","ESI neg"
"2.96_451.45","FA 30:0 ","[M-H]-","VHOCUJPBKOZGJD-UHFFFAOYSA-N","451.45159999999998","2.9649999999999999","ESI neg"
