purple	darkorange	lightcyan	turquoise	sienna3	salmon	darkgreen	yellowgreen	violet	brown	tan	paleturquoise	darkred	midnightblue	darkmagenta	saddlebrown	greenyellow	steelblue	blue	darkgrey	green	cyan	lightyellow	orange	magenta	black	darkturquoise	skyblue	pink	yellow	white	red	lightgreen	royalblue	darkolivegreen	grey60	grey	Probe	Module
-0.0994891530676712	0.321331589465273	0.0196156000910614	0.161382761295606	0.377925095414978	0.18278212839301	0.271042690560994	0.513510531402925	0.2254966861996	0.299725661290312	0.307828024466611	0.0607150823681047	-0.231500062186452	0.115409659980512	-0.149481328248737	0.0642605473967919	-0.304182077217477	-0.0333737221226212	0.056148702003815	0.047695230936962	0.0756680577985382	0.304502683373713	0.29847080968711	0.161579552468738	-0.471081474602247	-0.418604401311076	-0.312306457047411	-0.0173541919716075	0.150179826633283	0.0746621012324685	-0.166089776609584	-0.121402761777339	0.00113953433986569	-0.047516232685252	-0.143814953582032	-0.0854373219547138	0.49551523304842	1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)	grey
-0.261017394952115	-0.540719146282562	-0.32798582608026	-0.408061859045345	-0.365344005450778	-0.440168828405565	-0.286550270895849	-0.369171543471264	-0.436652371544745	-0.433292340546546	-0.511840086010336	0.117671201223697	0.676372356312547	0.162519741309188	0.193646410509786	0.0697240782191535	0.447066422859744	0.384448105785884	-0.0261547680344833	-0.200500180838442	-0.273557209753933	-0.110164889546377	-0.36052984811262	-0.290663987440118	0.905338864701787	0.609825770090512	0.594675113351325	0.0513944846009709	-0.295176183883251	-0.244207890989516	0.222041107933496	0.27909145549221	0.0570021607942777	0.11127679206893	0.290969627110492	0.067751997721999	-0.322005873112583	13-HODE	magenta
0.233391748047278	0.0254368986403113	0.240248926682317	0.163797846334038	-0.0989559387620912	-0.103032631209288	-0.0518576334996647	-0.0815860501695903	-0.119938243708993	-0.0307382611834261	-0.1417219399237	0.235466018446526	0.0033282487843029	0.164774781069753	0.0345538689154808	-0.0226442303962606	0.0352990387329565	0.0678662815746606	-0.145551199749193	-0.161672364776031	-0.250866574585759	-0.159171525064078	-0.0634022817235443	-0.0377412794810152	0.00364365539636033	0.0692584317999687	0.0340604473101936	-0.0567386310637609	-0.0912486805156078	-0.0656986554293281	0.0164587043030879	-0.0865264655533845	-0.0574425188220784	0.0481452556649371	0.13685656558306	0.222854895509006	-0.150265085550102	16,16-dimethylprostaglandin A1	grey
-0.137588999171431	-0.45833495352846	-0.321282321656544	-0.465054186445401	-0.236127548541819	-0.379023981783987	-0.221806284738128	-0.289216794477501	-0.210805765496552	-0.51975544463107	-0.444876768648656	0.127723949333632	0.768651596052056	0.281552237317599	0.0310716787232783	0.173692311915358	0.332244674587314	0.208007280365965	-0.0138128540062278	-0.162245975719255	-0.232752130765715	-0.0338294504330202	-0.325144473676672	-0.272155057626726	0.803027362429956	0.568921413800435	0.576911091460499	0.0668590684102734	-0.36174668856661	-0.266900284837291	0.099085877587749	0.328969555547605	0.0823501511981493	0.13009491665377	0.348255505986701	0.166681201898523	-0.240856992239243	4-HDoHE	magenta
0.061865402493923	0.0895917649825659	-0.0908333792209403	-0.12684148511277	0.322329572893676	-0.454896036697051	-0.327706698901691	-0.126476571533511	-0.0264814668742062	-0.0454538372994261	0.110321314247975	0.438683478362638	0.0750657215762708	-0.0422273549977345	0.0204136305023857	0.0751842946366714	-0.268258113113383	-0.148033280682919	-0.293254413952061	-0.138566731302363	-0.377221848286284	-0.155120870331664	-0.284195050327518	-0.0723143807071173	0.123043458760662	-0.101978445577786	0.032483371932095	0.460698834007787	0.103561976988471	0.130287734961777	0.5652487387643	0.393929129560099	0.252522373503743	0.339607874584112	-0.176615307571009	0.16440727514003	-0.100132856474507	4-methyl-2-oxopentanoic acid	white
-0.34831437346975	-0.714150777628218	-0.47486767774974	-0.664212283933084	-0.491931411390296	-0.413363565222344	-0.363964857238509	-0.595819889815804	-0.380524675070637	-0.261732932729948	-0.321336816595766	0.141555557556435	0.640001867862413	-0.0162298918758088	0.00300814381492781	0.217344652471407	0.437265079305356	0.259954931174206	-0.0835976468147008	-0.0780070768888577	-0.274046156426594	-0.0993831767663093	-0.326560469792243	-0.175214210694555	0.909725099703247	0.858913355207202	0.680783409785851	0.330525784232271	-0.107102955793556	0.066996613685481	0.0439804340625972	0.399437464478574	0.144558363180126	0.174457599334404	0.197545897451975	0.0923399017084051	-0.278405249310728	5-HETE	magenta
-0.36814992054491	-0.770202779001125	-0.513249188864005	-0.664333173688827	-0.563100709184869	-0.276569351325481	-0.19649868277884	-0.589291964369117	-0.45533335642555	-0.403438423561345	-0.412416372114604	-0.0459856673630106	0.650816875076005	0.0101375260173058	0.0636704614177002	0.24851770546885	0.538532811220412	0.337982880078516	0.0542630257342572	-0.0182697281398161	-0.18732004631021	0.0356221879382276	-0.212733500943324	-0.134018124353058	0.87054530119868	0.88072339844088	0.707907243762885	0.203749124846698	-0.0569467636520528	0.0318830347862737	-0.0283818810902626	0.340917074823742	0.0428586689931236	0.0663036496587387	0.258687775455766	-0.0141219775532414	-0.221486972689627	8,15-DiHETE	magenta
-0.198801307565299	-0.107413205827419	-0.0223639476001135	0.0338415137417494	0.161944944106901	0.302630611860218	0.504720785761817	0.183142014103208	-0.176675067620075	0.20168909600227	0.161270370484886	-0.0908267014928204	-0.0279740344717009	0.206622046717068	0.446939131476914	0.210965837371315	0.160926778670573	0.264761979477915	0.335177935306001	0.393508517514339	0.261500504972463	0.484832517260366	0.370092004830379	0.197717179338001	-0.251941735029592	-0.151806555568366	-0.237721074764498	-0.207859358307169	0.0162015158066068	-0.120287525485886	0.0264980302476734	-0.0530426975795293	-0.158508638432061	-0.227137245148944	-0.0468976131310615	-0.263660875882348	0.528204573840041	acylcarnitine 08:0	grey
-0.308637535088565	-0.0507374869482671	-0.0378970664667682	-0.0332043619716015	0.23707177264967	-0.00770461328727928	0.29592420187935	0.232519188220717	-0.0911332550949598	0.0600033951485909	0.0947352895865709	0.0710054350533357	0.162379290227201	0.274533152992057	0.446322329498151	0.168303012699977	0.235296264956903	0.433119343641963	0.372398390287967	0.342561976421693	0.187775807331745	0.331276486371838	0.233716339344179	0.338997872363336	0.0193122201678908	-0.026063208663265	-0.0677817270890557	-0.153179986543849	-0.0187492469361827	-0.140370096019791	0.0689912000194731	-0.0929242187364279	-0.302977570136221	-0.316065408862067	0.132809293746527	-0.238835149856223	0.383329662518453	acylcarnitine 08:1	grey
-0.3485522402623	-0.102085827071212	-0.232688570491091	-0.216988124788627	0.289247570385858	-0.0424050964567022	0.194251821740362	0.114453858425064	0.0991675310063216	0.26292417759097	0.442410372731354	0.158277776992137	-0.0248470320826479	0.0567398040265379	0.397305505408	0.322389343047876	-0.0727155992418104	0.0875146633892617	0.128796169361132	0.391031509694613	0.153028310697825	0.240133070130691	0.211702510582852	0.350565196047545	-0.130790990248682	-0.14952672979851	-0.100635804435894	0.218989611234957	0.209500729781774	0.214235866846752	0.211007767398194	0.217840546692806	-0.0339277337806168	-0.143639787840094	-0.361196026702675	-0.295641236648436	0.504825721698605	acylcarnitine 10:0	grey
-0.424717859143446	-0.0762844448695517	-0.303176646558113	-0.179604055314335	0.18143345822691	-0.0434125195832266	0.170440340883557	0.16494012283673	0.00853025136188721	0.194720813650972	0.247979698883433	0.0522541126407959	-0.0595610181438128	0.0347278324075612	0.28127411281575	0.142505389210886	0.0291319887143461	0.249586870147086	0.0661142698955458	0.240000988392853	0.0556089909836044	0.192792596183454	0.0899182962763594	0.117052328143279	-0.0428020499671379	-0.116348141211206	-0.120838480450368	0.0986923186499811	0.237675920777695	0.192660600314412	0.215000132117203	0.200357811832852	0.0545220472706373	-0.143741456673565	-0.228510968211385	-0.283056803888096	0.450152315849919	acylcarnitine 10:1	grey
0.184693682493902	0.0319673259491796	-0.0210027353212171	0.0644493235579608	-0.204469052326391	0.117149564023562	-0.14030753720549	-0.0956115798036077	0.0864030017587792	0.172472917931381	0.0767391383796919	-0.223791958230625	-0.374672195676396	-0.425961968019371	-0.27586645643843	-0.17223713071009	0.00631867173664632	-0.169903049478938	-0.199049964224795	-0.0982910965643834	-0.0947016966855746	-0.204495509147188	-0.198929757307268	-0.107976166492291	-0.187781376924	-0.0862861787724931	-0.253832619455827	-0.10804594926776	0.103683894845856	0.213438332672476	-0.021780125285336	0.0866465132205711	0.226499905719542	0.145958724983053	-0.0467627493289164	0.028723572632747	-0.0796453295335238	acylcarnitine 12:1	grey
-0.392892577117481	-0.16141424098819	-0.241696437981005	-0.214798323589917	0.294083151681648	-0.0882268669870728	0.047479487920453	0.000403180419578764	-0.0757698640911379	0.103115778241999	0.208873279214979	0.271607757191139	0.170402068136265	0.154023015145698	0.405503794062454	0.206336043158936	-0.0245889601779532	0.0980035823117202	0.0291700267751023	0.260435704473209	0.093807408561188	0.198978902861478	0.0729857235149957	0.111593378594858	0.122953814042876	-0.0108028072669077	0.0256894593055994	0.229474517122599	0.0316096777398632	0.0327862511485047	0.268487718215247	0.291443360875799	0.064819235526303	-0.0914532415455426	-0.343493614371855	-0.218088090968697	0.321953982713518	acylcarnitine 14:1	grey
-0.0126080709512277	-0.120923319005404	0.0273672569373865	0.028132103896275	0.0645793209689321	0.157723673784639	0.23416247831816	0.00807464125432297	-0.237602311243796	-0.18377933231376	-0.0988667719296726	0.00873030349273203	0.264033882428325	0.363540032234325	0.865413685637212	0.126772647273737	0.291698359109808	0.203294714866613	0.315114171770927	0.277566019388778	0.216320899038268	0.265351834543146	0.25876151944643	0.11027923279322	0.0232698029563483	0.0194788813427731	-0.039314298188013	-0.123898727025423	-0.19466589028056	-0.288422624369007	-0.0529446173819466	-0.164047901558333	-0.269593343247917	-0.191204298918814	0.0760096133171948	-0.242046253755513	0.054904019246075	acylcarnitine 16:0	darkmagenta
0.0145112437364294	-0.168926183290295	0.0946721327219647	-0.025126263955151	-0.0989997930419143	0.00000430201151424019	0.20913971769739	-0.0678616533941909	-0.299069209049345	-0.162822611937293	-0.048505307020621	-0.0647501646334591	0.138854467901154	0.178148976025129	0.846667920951007	0.210771427729765	0.296684161691388	0.132273228503456	0.303988555778017	0.231653332052873	0.138151504664192	0.160396095161608	0.258533329925545	0.247964672595874	-0.0271947777644853	0.0998035938480832	-0.02508606796278	-0.0702508097860506	-0.0699872075574555	-0.158530038310423	-0.0381877406115687	-0.11988780680795	-0.155866550376339	-0.0484103071997593	0.150775035210282	-0.0782141867979167	0.00836796468914527	acylcarnitine 18:0 Isomer A	darkmagenta
-0.198986173312759	-0.0667590101397487	0.0272727251684666	-0.0296279168421644	0.183534564084717	-0.0456066741574477	0.281157706936269	0.0675327096582568	-0.139893895593997	-0.00791274368389675	0.0754551786442808	0.114968360021065	0.26819026573141	0.363162388842255	0.921538669131271	0.252142266768798	0.181167877754464	0.270746692243289	0.363056068864851	0.287773836269172	0.208515508249282	0.253946572016839	0.302860830499534	0.288178313973801	0.0478104979333707	-0.0405412757222354	0.0471893131265955	-0.0405374850459302	-0.173407223483971	-0.278097248092396	0.0582847888052754	-0.0656739842160822	-0.257035810022685	-0.23577673455276	0.0654594771543408	-0.15099943987375	0.211952795120751	acylcarnitine 18:1	darkmagenta
-0.130654262817459	-0.0229037332787563	-0.0119311309732346	-0.00117433638151975	0.177711700872178	-0.328632153848417	-0.126799104811667	0.0618646274563998	-0.107353953869152	0.126068252223812	0.196363701338269	0.44666840668214	0.368017353996594	0.350034330755595	0.69384842524946	0.0496331536326677	0.0169680441238793	0.205415168870588	0.047206722126598	0.12163288081021	-0.031467024624765	0.115446862498746	0.0469410275291028	0.181749258238431	0.25280899015442	-0.12652480390241	0.0537943414712146	0.142734781731451	-0.220621920904402	-0.22501309949024	0.289459490683202	0.121961741328446	-0.101366694934488	-0.0693286399086236	-0.0516340871280979	-0.036850058436887	0.0629116241817839	acylcarnitine 18:2 Isomer A	darkmagenta
-0.224388905323665	-0.136262413306695	0.096519970446122	-0.0305043025073407	-0.0550172680093869	-0.0512398396609765	0.324404253815768	0.0829079496744073	-0.277738059320878	-0.0950217152722753	-0.0476136024292999	0.0457625846413682	0.213489064563056	0.304059776030244	0.902095741190321	0.267295717354876	0.30854621653402	0.321382124435878	0.39376195652193	0.278279630564083	0.201111388225899	0.247771497268147	0.335122020796061	0.331895559697166	0.0679459212869042	0.115194908687684	0.134000667732998	-0.106918065424553	-0.178543569350975	-0.296535862923809	-0.0368107631975135	-0.20691797204328	-0.335816936171867	-0.264988316114499	0.202015817575615	-0.117659599852357	0.20220677586357	acylcarnitine 20:1	darkmagenta
-0.426304079036919	-0.29505402991386	-0.224130230145872	-0.228732944621431	-0.0506686989621292	0.263637064404198	0.495598693038501	0.139281295234389	-0.191595693959405	0.0503826189479389	0.133504610895209	-0.175743852886339	0.321796590156874	0.3029236037618	0.174703943389571	0.357867735457752	0.436554353145274	0.557539915957618	0.564603320401898	0.457921091288453	0.395020726858636	0.870602743364103	0.572550763456875	0.412769611119366	0.120914560357376	0.215304982797184	0.218281817689676	-0.13104835297412	0.110432187964684	-0.0780588957912284	-0.239479324973687	-0.076548655947617	-0.532296007237373	-0.461233266448522	0.174205621838754	-0.304195541693497	0.628952065616324	C16 Lactosyl Ceramide (d18:1/16:0)	cyan
