"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC 40:5 Isomer B",0.59469,0.66782,0.8794,0.89646,0.85631,0.83892,0.83509,0.83281
"SM 22:1;2O/12:0",0.58825,0.40207,0.42374,0.57769,0.55288,0.59061,0.58479,0.59783
"PC 38:1",0.58632,0.41784,0.36716,0.74515,0.72208,0.81285,0.80555,0.80256
"PC 35:4",0.58395,0.73895,1.1312,1.1021,1.0612,1.04,1.0344,1.0379
"SM d37:1 Isomer B",0.57866,0.92831,0.79758,0.75879,0.83659,0.82166,0.81366,0.81175
"PC O-31:7",0.57515,0.47883,0.75513,0.72374,1.5975,1.5925,1.6021,1.5943
"SM d44:2 isomer A",0.57203,0.5474,0.5159,0.63891,0.63941,0.75192,0.7438,0.74779
"PI 34:2 Isomer B",0.5703,0.34443,0.40623,0.55133,0.53564,0.54177,0.53826,0.54728
"TG 49:2",0.56744,0.51376,0.47444,0.49254,0.77096,0.75947,0.75608,0.75244
"TG 52:0",0.56719,1.4063,1.4328,1.3945,1.5245,1.564,1.5507,1.5432
"PS 36:2",0.56524,1.0506,1.2439,1.1817,1.1662,1.1435,1.1315,1.1342
"Cer 18:1;2O/26:0",0.55698,0.41753,0.56731,0.53892,0.51701,0.50797,0.50596,0.50347
"LPC 20:5",0.55276,1.2939,1.0998,1.119,1.0783,1.0559,1.0582,1.0563
"SM d40:1",0.55059,0.55687,0.47502,0.50794,0.64267,0.63739,0.6306,0.62823
"PMeOH 16:0_18:1",0.54867,0.33229,0.30231,0.54713,0.99868,1.1373,1.1287,1.1593
"SM 42:1;3O",0.5373,0.33954,0.35645,0.41812,0.50825,0.56885,0.56707,0.5665
"PC 16:0_5-oxovaleryl",0.53461,0.63074,1.0619,1.0066,0.96407,0.94839,0.93815,0.96085
"TG 54:5 Isomer A",0.53382,2.2675,1.9718,1.9585,1.8708,1.833,1.8358,1.8299
"TG 52:5",0.53209,1.8457,1.6468,1.6224,1.5522,1.5192,1.5122,1.5095
"LPC 20:0",0.52912,0.33119,0.96072,0.91963,0.87912,0.88061,0.88314,0.88021
"PC 33:2",0.52602,0.33448,0.50091,0.68084,0.65322,0.71599,0.71621,0.71674
"SM 46:5;3O",0.52475,1.3467,1.202,1.1893,1.1483,1.1252,1.1254,1.1217
"Cer d42:1",0.52434,0.6638,0.72614,0.69354,0.68983,0.73942,0.7325,0.73056
"Cer d34:2 Isomer A",0.52286,0.85772,0.73126,0.73868,0.75056,0.73614,0.73181,0.74652
"PI 38:3",0.52152,0.71187,1.1791,1.1302,1.0861,1.0706,1.0589,1.0535
"PC 36:2",0.51356,0.72671,0.6275,0.78733,0.75196,0.80218,0.80905,0.81189
"TG 22:0",0.51151,0.87697,0.7448,0.70943,0.81252,0.80119,0.79747,0.7991
"FA 23:0",0.50623,0.32231,0.42386,0.44817,0.52565,0.51585,0.52614,0.53234
"PC P-38:4 or PC O-38:5 Isomer A",0.50115,0.32017,1.3865,1.3162,1.2631,1.2563,1.2462,1.2414
"Cer-NDS d41:0",0.4989,0.30459,0.82126,0.78557,0.75044,0.73452,0.72657,0.72496
"LPE 16:0",0.49498,1.5514,1.3503,1.2831,1.2388,1.2131,1.2095,1.2036
"PC P-38:3 or PC O-38:4 Isomer B",0.49036,0.29438,1.1222,1.0985,1.0491,1.0272,1.0169,1.0117
