"Module","Lipids"
"grey",95
"turquoise",25
"blue",23
"brown",22
"yellow",20
"green",17
"red",16
"black",14
"magenta",14
"pink",14
"greenyellow",13
"purple",13
"tan",11
"cyan",10
"salmon",10
"grey60",9
"lightcyan",9
"midnightblue",9
"lightgreen",8
"lightyellow",8
"royalblue",8
"darkgreen",7
"darkgrey",7
"darkred",7
"darkturquoise",7
"orange",7
"darkorange",6
"skyblue",6
"white",6
"darkmagenta",5
"darkolivegreen",5
"paleturquoise",5
"saddlebrown",5
"steelblue",5
"violet",5
