"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"PC O-36:1",1.1717,0.78765,0.76631,0.72906,0.70795,0.69283,0.70927,0.70455
"FA 19:1",1.1706,0.72258,0.63882,0.60955,0.58701,0.5907,0.58103,0.57386
"TG 54:3",1.1684,1.4774,1.3064,1.2843,1.4056,1.3671,1.3504,1.352
"TG 56:4",1.1644,0.79925,0.76908,0.74184,1.0605,1.0469,1.0439,1.0311
"PC 38:1",1.1643,1.0737,0.953,0.90332,0.86319,0.84029,0.84434,0.84653
"Cer d40:0",1.1612,1.1771,1.15,1.1213,1.092,1.1297,1.1233,1.1144
"TG 60:2",1.1552,0.79699,0.76092,0.72496,0.69384,0.68062,0.66967,0.67282
"SM d41:0",1.1548,1.1598,1.0259,0.97215,0.93082,0.90518,0.88883,0.87823
"TG 54:0",1.1536,0.78057,0.69323,0.66255,0.65471,0.64239,0.65393,0.68979
"Cer-NDS d40:0",1.1503,0.77256,0.84984,0.79967,0.77594,0.90023,0.89686,0.92154
"PE O-40:4",1.1476,0.73922,1.0399,0.98321,0.93567,0.96685,0.98184,1.0328
"Cer 18:2;2O/24:1",1.1429,0.6795,0.61771,0.58018,0.57496,0.60981,0.60031,0.59416
"PC P-36:1 or PC O-36:2 A",1.1332,0.78361,0.72427,0.70477,0.67477,0.67039,0.66048,0.67671
"TG 49:0",1.1322,0.74086,0.69219,0.76643,0.74718,0.73064,0.71638,0.70801
"TG 45:0",1.132,0.97217,0.8593,0.81379,0.7825,0.76584,0.75225,0.74298
"SM d38:2",1.1299,0.99361,0.88719,0.83459,0.79556,0.77382,0.76021,0.75328
"SM 38:4;3O",1.1293,0.84887,0.75059,0.72205,0.68772,0.66881,0.69881,0.75929
"SM 20:0;2O/22:3",1.1247,1.1326,1.271,1.234,1.3058,1.3308,1.3397,1.3632
"Cholesterol",1.1225,0.97132,0.86353,0.81823,0.77839,0.7597,0.76335,0.76693
"FA 32:0",1.1193,0.66164,0.59535,0.74645,0.72898,0.71277,0.70538,0.74248
"TG 56:3",1.1165,0.90484,0.88602,0.89609,1.0822,1.052,1.0595,1.054
